latex,ex,t1_2,i,m_nm,z
$^{114}_{49}In$,0,71.9 s,1+,2.817(11),49
$^{115}_{49}In$,0,4.4x10*14 y,9/2+,+5.5408 (2),49
$^{116}_{49}In$,0,14.1 s,1+,2.7876(6),49
$^{117}_{49}In$,0,42 m,9/2+,+5.519(4),49
$^{118}_{49}In$,~60,4.45 m,5+,+4.231(9),49
$^{119}_{49}In$,0,2.4 m,9/2+,+5.515(10),49
$^{120}_{49}In$,(0),44.4 s,5+,+4.295(5),49
$^{121}_{49}In$,0,23.1 s,9/2+,+5.502(5),49
$^{122}_{49}In$,0+x,9.2 s,5+,+4.318(5),49
$^{123}_{49}In$,0,6.68 s,9/2+,+5.491(7),49
$^{124}_{49}In$,0,3.09 s,3+,+4.043(11),49
$^{125}_{49}In$,0,2.50 s,9/2+,+5.502(9),49
$^{126}_{49}In$,(0),1.60 s,3+,+4.034(11),49
$^{127}_{49}In$,0,1.22 s,9/2+,+5.522(8),49
$^{108}_{50}Sn$,2365,7.3 ns,6+,-0.24(12),50
$^{109}_{50}Sn$,0,18.0 m,5/2+,-1.079(6),50
$^{110}_{50}Sn$,2480,5.6 ns,6+,+0.07(3),50
$^{111}_{50}Sn$,0,35 m,7/2+,+0.608(4),50
$^{112}_{50}Sn$,1257,0.35 ps,2+,+0.7(3),50
$^{113}_{50}Sn$,0,115 d,1/2+,-0.8791(6),50
$^{114}_{50}Sn$,1300,0.28 ps,2+,>0,50
$^{115}_{50}Sn$,0,stable,1/2+,-0.91883(7),50
$^{116}_{50}Sn$,1294,0.36 ps,2+,-0.3(2),50
$^{117}_{50}Sn$,0,stable,1/2+,-1.00104(7),50
$^{118}_{50}Sn$,1230,0.46 ps,2+,+0.04(20),50
$^{119}_{50}Sn$,0,stable,1/2+,-1.04728(7),50
$^{120}_{50}Sn$,1171,0.64 ps,2+,NA,50
$^{121}_{50}Sn$,0,27.1 h,3/2+,+0.6978(10),50
$^{122}_{50}Sn$,1140,0.76 ps,2+,-0.1(2),50
$^{123}_{50}Sn$,0,129 d,11/2-,-1.3700(9),50
$^{124}_{50}Sn$,1132,0.97 ps,2+,-0.3(2),50
$^{125}_{50}Sn$,0,9.62 d,11/2-,-1.348(2),50
$^{112}_{51}Sb$,796,536 ns,8-,+2.192(8),51
$^{114}_{51}Sb$,0,3.49 m,3+,1.72(8),51
$^{115}_{51}Sb$,0,31.8 m,5/2+,+3.46(1),51
$^{116}_{51}Sb$,0,16 m,3+,2.715(9),51
$^{117}_{51}Sb$,0,2.80 h,5/2+,+3.43(6),51
$^{118}_{51}Sb$,0,3.6 m,1+,2.47(7),51
$^{119}_{51}Sb$,0,38.0 h,5/2+,+3.45(1),51
$^{120}_{51}Sb$,*0*,15.9 m,1+,2.3(2),51
$^{121}_{51}Sb$,0,stable,5/2+,+3.3634(3),51
$^{122}_{51}Sb$,0,2.68 d,2-,_1.90(2),51
$^{123}_{51}Sb$,0,stable,7/2+,+2.5498(2),51
$^{124}_{51}Sb$,0,60.2 d,3-,1.20(2),51
$^{125}_{51}Sb$,0,2.7 y,7/2+,+2.63(4),51
$^{126}_{51}Sb$,0,12.4 d,(8)-,1.28(7),51
$^{127}_{51}Sb$,0,3.84 d,7/2+,2.697(6),51
$^{128}_{51}Sb$,0,9.1 h,8-,1.3(2),51
$^{129}_{51}Sb$,0,4.4 h,7/2+,2.79(2),51
$^{131}_{51}Sb$,0,23 m,7/2+,2.89(1),51
$^{133}_{51}Sb$,0,2.5 m,7/2+,3.00(1),51
$^{115}_{52}Te$,280,7.5 μs,11/2-,-0.954(5),52
$^{117}_{52}Te$,274,19.1 ns,5/2+,-0.787(12),52
$^{119}_{52}Te$,0,16.1 h,1/2+,0.25(5),52
$^{120}_{52}Te$,560,9.3 ps,2+,+0.78(14),52
$^{121}_{52}Te$,294,154 d,11/2-,0.895(10),52
$^{122}_{52}Te$,564,7.52 ps,2+,+0.66(4),52
$^{123}_{52}Te$,0,>1x10*15 y,1/2+,-0.7369478(8),52
$^{124}_{52}Te$,603,6.25 ps,2+,+0.56(6),52
$^{125}_{52}Te$,0,stable,1/2+,-0.8885051(4),52
$^{126}_{52}Te$,666,4.41 ps,2+,+0.62(8),52
$^{127}_{52}Te$,0,9.4 h,3/2+,0.635(4),52
$^{128}_{52}Te$,743,3.2 ps,2+,+0.50(6),52
$^{129}_{52}Te$,0,69.5 m,3/2+,0.702(4),52
$^{130}_{52}Te$,840,2.3 ps,2+,+0.58(10),52
$^{131}_{52}Te$,0,25 m,3/2+,0.696(9),52
$^{132}_{52}Te$,1775,145 ns,6+,+4.7(5),52
$^{134}_{52}Te$,1691,163 ns,6+,+5.08(15),52
$^{135}_{52}Te$,1555,510 ns,19/2-,-3.8(4),52
$^{117}_{53}I$,0,2.22 m,(5/2)+,3.1(2),53
$^{118}_{53}I$,0,13.7 m,2-,2.0(2),53
$^{119}_{53}I$,0,19 m,5/2+,(+)2.9(1),53
$^{120}_{53}I$,0,1.4 h,2-,1.23(3),53
$^{121}_{53}I$,0,2.1 h,5/2-,2.3(1),53
$^{122}_{53}I$,0,3.63 m,1+,0.94(3),53
$^{123}_{53}I$,0,13.3 h,5/2+,2.818(7),53
$^{124}_{53}I$,0,4.18 d,2-,1.446(4),53
$^{125}_{53}I$,0,60.2 d,5/2+,2.821(5),53
$^{126}_{53}I$,0,13.1 d,2-,1.438(4),53
$^{127}_{53}I$,0,stable,5/2+,+2.81327(8),53
$^{128}_{53}I$,138,845 ns,4-,-0.72(3),53
$^{129}_{53}I$,0,1.6x10*7 y,7/2+,+2.6210(3),53
$^{130}_{53}I$,0,12.36 h,5+,3.349(7),53
$^{131}_{53}I$,0,8.04 d,7/2+,+2.742(1),53
$^{132}_{53}I$,0,2.28 h,4+,3.088(7),53
$^{133}_{53}I$,0,20.9 h,7/2+,+2.856(5),53
$^{117}_{54}Xe$,0,1.02 m,5/2+,-0.5938(15) d,54
$^{119}_{54}Xe$,0,58 m,5/2+,-0.6542(15) d,54
$^{121}_{54}Xe$,0,39 m,5/2+,-0.701(3) d,54
$^{123}_{54}Xe$,0,2.00 h,1/2+,-0.150(3) d,54
$^{124}_{54}Xe$,354,56 ps,2+,+0.46(4),54
$^{125}_{54}Xe$,0,17.1 h,1/2+,-0.269(3) d,54
$^{126}_{54}Xe$,389,41.2 ps,2+,+0.74(14),54
$^{127}_{54}Xe$,0,36.4 d,1/2+,-0.5033(11) d,54
$^{128}_{54}Xe$,443,21.4 ps,2+,+0.82(14),54
$^{129}_{54}Xe$,0,stable,1/2+,-0.777976(8),54
$^{130}_{54}Xe$,538,10.0 ps,2+,+0.76(14),54
$^{131}_{54}Xe$,0,stable,3/2+,+0.6915(2) d,54
$^{132}_{54}Xe$,668,4.9 ps,2+,+0.74(10),54
$^{133}_{54}Xe$,0,5.24 d,3/2+,+0.8129(5) d,54
$^{134}_{54}Xe$,847,1.9 ps,2+,1.1(2),54
$^{135}_{54}Xe$,0,9.10 h,3/2+,+0.9032(7) d,54
$^{136}_{54}Xe$,1313,0.21 ps,2+,2.4(5),54
$^{137}_{54}Xe$,0,3.82 m,7/2-,-0.968(8),54
$^{139}_{54}Xe$,0,39.7 s,3/2-,-0.304(10),54
$^{141}_{54}Xe$,0,1.73 s,5/2+,+0.010(4),54
$^{143}_{54}Xe$,0,0.30 s,5/2-,-0.4599(14),54
$^{118}_{55}Cs$,(0),14 s,2,+3.876(5),55
$^{119}_{55}Cs$,(0),36 s,9/2+,+5.46(3),55
$^{120}_{55}Cs$,0,64 s,2+,+3.87(2),55
$^{121}_{55}Cs$,0,2.27 m,3/2+,+0.770(4),55
$^{122}_{55}Cs$,(0),21 s,1+,-0.1333(9),55
$^{123}_{55}Cs$,0,5.8 m,1/2+,+1.377(7),55
$^{124}_{55}Cs$,0,30.8 s,1+,+0.673(3),55
$^{125}_{55}Cs$,0,45 m,1/2+,+1.409(7),55
$^{126}_{55}Cs$,0,1.64 m,1+,+0.777(4),55
$^{127}_{55}Cs$,0,6.2 h,1/2+,+1.459(7),55
$^{128}_{55}Cs$,0,3.62 m,1+,+0.974(5),55
$^{129}_{55}Cs$,0,32.3 h,1/2+,+1.491(8),55
$^{130}_{55}Cs$,0,29.9 m,1+,+1.460(7),55
$^{131}_{55}Cs$,0,9.69 d,5/2+,+3.53(2),55
$^{132}_{55}Cs$,0,6.47 d,2(-),+2.222(7),55
$^{133}_{55}Cs$,0,stable,7/2+,+2.582025(3),55
$^{134}_{55}Cs$,0,2.06 y,4+,+2.9937(9),55
$^{135}_{55}Cs$,0,3x10*6 y,7/2+,+2.7324(2),55
$^{136}_{55}Cs$,0,13.2 d,5+,+3.711(15),55
$^{137}_{55}Cs$,0,30.17 y,7/2+,+2.8513(7),55
$^{138}_{55}Cs$,0,32.2 m,3-,+0.700(4),55
$^{139}_{55}Cs$,0,9.4 m,7/2+,+2.696(4),55
$^{140}_{55}Cs$,0,65 s,1-,+0.1338953(5),55
$^{141}_{55}Cs$,0,25.1 s,7/2+,+2.438(10),55
$^{143}_{55}Cs$,0,1.78 s,3/2+,+0.870(4),55
$^{144}_{55}Cs$,0,1.00 s,1,-0.546(3),55
$^{145}_{55}Cs$,0,0.59 s,3/2+,+0.784(4),55
$^{146}_{55}Cs$,0,0.34 s,1,-0.515(2),55
$^{121}_{56}Ba$,0,30 s,5/2(+),+0.660(1),56
$^{123}_{56}Ba$,0,2.7 m,5/2+,-0.680(1),56
$^{125}_{56}Ba$,0,3.5 m,1/2+,+0.177(12),56
$^{127}_{56}Ba$,0,12.7 m,1/2(+),+0.0834(10),56
$^{129}_{56}Ba$,0,2.23 h,1/2+,-0.40(2),56
$^{130}_{56}Ba$,357,37 ps,2+,+0.70(6),56
$^{131}_{56}Ba$,0,11.8 d,1/2+,0.708113(15),56
$^{132}_{56}Ba$,465,18 ps,2+,+0.68(6),56
$^{133}_{56}Ba$,0,10.7 y,1/2+,0.77167(2),56
$^{134}_{56}Ba$,605,5.1 ps,2+,+0.86(10),56
$^{135}_{56}Ba$,0,stable,3/2+,+0.83794(2),56
$^{136}_{56}Ba$,819,1.93 ps,2+,+0.69(10),56
$^{137}_{56}Ba$,0,stable,3/2+,+0.93737(2),56
$^{138}_{56}Ba$,1436,0.206 ps,2+,+1.4(2),56
$^{139}_{56}Ba$,0,84.6 m,7/2-,-0.973(5),56
$^{141}_{56}Ba$,0,18.7 m,3/2-,-0.337(5),56
$^{142}_{56}Ba$,359,66 ps,2+,0.85(10),56
$^{143}_{56}Ba$,0,14.5 s,5/2(+),+0.443(11),56
$^{144}_{56}Ba$,199,0.70 ns,2+,0.68(10),56
$^{145}_{56}Ba$,0,4.31 s,5/2(-),-0.285(7),56
$^{146}_{56}Ba$,181,0.85 ns,2+,0.56(14),56
$^{133}_{57}La$,536,60 ns,11/2-,7.5(5),57
$^{135}_{57}La$,2737,50 ns,(27/2)+,0.0(2),57
$^{137}_{57}La$,0,6 x 10*4 y,7/2+,+2.695(6),57
$^{138}_{57}La$,0,1.1x10*11 y,5+,+3.713646(7),57
$^{139}_{57}La$,0,stable,7/2+,+2.7830455(9),57
$^{140}_{57}La$,0,40.3 h,3-,+0.730(15),57
$^{126}_{58}Ce$,2887,8 ps,10+,~+10,58
$^{134}_{58}Ce$,3209,308 ns,10+,-1.87(2),58
$^{135}_{58}Ce$,2126,8.2 ns,19/2+,-0.66(10),58
$^{136}_{58}Ce$,3095,2.2 μs,10+,-1.80(2),58
$^{137}_{58}Ce$,0,9.0 h,3/2+,0.96(4),58
$^{138}_{58}Ce$,3538,82 ns,10+,-1.70(3),58
$^{139}_{58}Ce$,0,137.6 d,3/2+,1.06(4),58
$^{140}_{58}Ce$,1596,90 fs,2+,+1.9(2),58
$^{141}_{58}Ce$,0,32.5 d,7/2-,1.09(4),58
$^{142}_{58}Ce$,641,5.7 ps,2+,+0.42(10),58
$^{143}_{58}Ce$,0,33 h,3/2-,0.43(2),58
$^{146}_{58}Ce$,259,0.25 ns,2+,0.48(10),58
$^{148}_{58}Ce$,158,1.01 ns,2+,0.74(12),58
$^{136}_{59}Pr$,548,90 ns,4+,+2.3(8),59
$^{139}_{59}Pr$,822,45 ns,11/2-,+6.6(5),59
$^{141}_{59}Pr$,0,stable,5/2+,+4.2754(5),59
$^{142}_{59}Pr$,0,19.2 h,2-,+0.234(1),59
$^{143}_{59}Pr$,0,13.57 d,7/2+,+2.701(4),59
$^{144}_{59}Pr$,80,0.12 ns,1-,-1.2(4),59
$^{134}_{60}Nd$,295,64 ps,2+,+1.2(4),60
$^{135}_{60}Nd$,0,12.4 m,9/2-,-0.78(3),60
$^{136}_{60}Nd$,3298,51.3 ps,10+,+11(4),60
$^{137}_{60}Nd$,0,38 m,1/2+,-0.633(5),60
$^{138}_{60}Nd$,3172,330 ns,10+,-1.74(4),60
$^{139}_{60}Nd$,0,30 m,3/2+,+0.907(7),60
$^{140}_{60}Nd$,3622,22 ns,10+,-1.92(12),60
$^{141}_{60}Nd$,0,2.49 h,3/2+,+1.012(9),60
$^{142}_{60}Nd$,1576,110 fs,2+,+1.69(15),60
$^{143}_{60}Nd$,0,stable,7/2-,-1.065(5),60
$^{144}_{60}Nd$,697,4.51 ps,2+,0.32(4),60
$^{145}_{60}Nd$,0,stable,7/2-,-0.656(4),60
$^{146}_{60}Nd$,454,27.5 ps,2+,0.58(2),60
$^{147}_{60}Nd$,0,11.0 d,5/2-,0.578(3),60
$^{148}_{60}Nd$,302,78.3 ps,2+,0.70(4),60
$^{149}_{60}Nd$,0,1.73 h,5/2-,0.351(10),60
$^{150}_{60}Nd$,130,2142 ps,2+,0.76(10),60
$^{138}_{61}Pm$,0,3.5 m,(3+),3.2(9),61
$^{143}_{61}Pm$,0,265 d,5/2+,3.8(5),61
$^{144}_{61}Pm$,0,349 d,5-,1.69(14),61
$^{145}_{61}Pm$,0,17.7 y,5/2+,+3.80(16),61
$^{147}_{61}Pm$,0,2.623 y,7/2+,+2.58(7),61
$^{148}_{61}Pm$,0,5.37 d,1-,+2.1(2),61
$^{149}_{61}Pm$,0,53.1 h,7/2+,3.3(5),61
$^{151}_{61}Pm$,0,28.4 h,5/2 +,1.8(2),61
$^{138}_{62}Sm$,2903,0.55 ns,10+,~10,62
$^{139}_{62}Sm$,0,2.57 m,1/2+,-0.53(2),62
$^{140}_{62}Sm$,3172,19.4 ns,10+,-1.8(2),62
$^{141}_{62}Sm$,0,10.2 m,1/2+,-0.74(2),62
$^{142}_{62}Sm$,2372,170 ns,7-,+0.42,62
$^{143}_{62}Sm$,0,8.83 m,3/2+,+1.01(2),62
$^{144}_{62}Sm$,1660,85 fs,2+,+1.5(2),62
$^{145}_{62}Sm$,0,340 d,7/2-,-1.11(6),62
$^{147}_{62}Sm$,0,1.1x10*11y,7/2-,-0.812(2),62
$^{148}_{62}Sm$,550,7.3 ps,2+,+0.51(4),62
$^{149}_{62}Sm$,0,> 2x10*15 y,7/2-,-0.6677(11),62
$^{150}_{62}Sm$,334,49 ps,2+,+0.77(5),62
$^{151}_{62}Sm$,0,90 y,5/2-,-0.3611(13),62
$^{152}_{62}Sm$,122,1.40 ns,2+,+0.80(6),62
$^{153}_{62}Sm$,0,46.8 h,3/2+,-0.021(3),62
$^{154}_{62}Sm$,82,3.01 ns,2+,+0.78(4),62
$^{155}_{62}Sm$,0,22.4 m,3/2-,NA,62
$^{138}_{63}Eu$,0,12.1 s,(6-),5.3(7),63
$^{139}_{63}Eu$,0,17.9s,(11/2-),6.1(8),63
$^{140}_{63}Eu$,0 + x,1.54 s,1(+),+1.365(13),63
$^{141}_{63}Eu$,0,40 s,5/2+,+3.494(8),63
$^{142}_{63}Eu$,0,2.4 s,1+,+1.54(2),63
$^{143}_{63}Eu$,0,2.6 m,5/2+,+3.673(8),63
$^{144}_{63}Eu$,0,10 s,1+,+1.893(13),63
$^{145}_{63}Eu$,0,5.93 d,5/2+,+3.999(3),63
$^{146}_{63}Eu$,0,4.59 d,4-,+1.421(8),63
$^{147}_{63}Eu$,0,24.1 d,5/2+,+3.736(6),63
$^{148}_{63}Eu$,0,54.5 d,5-,+2.340(10),63
$^{149}_{63}Eu$,0,93.1 d,5/2+,+3.576(10),63
$^{150}_{63}Eu$,0,35.8 y,5(-),+2.708(11),63
$^{151}_{63}Eu$,0,stable,5/2+,+3.4717(6),63
$^{152}_{63}Eu$,0,13.54 y,3-,-1.9401(8),63
$^{153}_{63}Eu$,0,stable,5/2+,+1.5324(3),63
$^{154}_{63}Eu$,0,8.6 y,3-,-2.005(6),63
$^{155}_{63}Eu$,0,4.68 y,5/2+,+1.52(2),63
$^{157}_{63}Eu$,0,15.2 h,5/2+,+1.50(2),63
$^{158}_{63}Eu$,0,45.9 m,1(-),+1.44(2),63
$^{159}_{63}Eu$,0,18.1 m,5/2+,+1.38(2),63
$^{144}_{64}Gd$,3433,130 ns,10+,+12.76(14),64
$^{146}_{64}Gd$,1580,1.1 ns,3-,+2.1(9),64
$^{147}_{64}Gd$,0,38.1 h,7/2-,1.02(9),64
$^{148}_{64}Gd$,2695,16.5 ns,9-,-0.16(2),64
$^{149}_{64}Gd$,0,9.4 d,7/2-,0.88(4),64
$^{151}_{64}Gd$,0,120 d,7/2-,0.77(6),64
$^{152}_{64}Gd$,344,28.6 ps,2+,+0.96(8),64
$^{153}_{64}Gd$,0,241.6 d,3/2-,0.38(8),64
$^{154}_{64}Gd$,123,1.17 ns,2+,+0.96(6),64
$^{155}_{64}Gd$,0,stable,3/2-,-0.2572(4),64
$^{156}_{64}Gd$,89,2.21 ns,2+,+0.82(14),64
$^{157}_{64}Gd$,0,stable,3/2-,-0.3398(7),64
$^{158}_{64}Gd$,80,2.52 ns,2+,+0.78(6),64
$^{159}_{64}Gd$,0,18.6 h,3/2-,-0.44(3),64
$^{160}_{64}Gd$,75,2.70 ns,2+,+.72(4),64
$^{147}_{65}Tb$,0,1.7 h,1/2+,+1.70(5),65
$^{148}_{65}Tb$,0,60 m,2-,-1.75(2),65
$^{149}_{65}Tb$,0,4.12 h,1/2+,+1.35(2),65
$^{150}_{65}Tb$,0 + x,3.48 h,2(-),-0.90(2),65
$^{151}_{65}Tb$,0,17.6 h,1/2(+),+0.919(6),65
$^{152}_{65}Tb$,0,17.5 h,2-,-0.58(2),65
$^{153}_{65}Tb$,0,2.34 d,5/2+,+3.44(2),65
$^{154}_{65}Tb$,0 + x,9.4 h,3-,+1.6(2),65
$^{155}_{65}Tb$,0,5.32 d,3/2+,+2.01(2),65
$^{166}_{65}Tb$,0,5.35 d,3-,1.7(2),65
$^{157}_{65}Tb$,0,99 y,3/2+,+2.01(2),65
$^{158}_{65}Tb$,0,150 y,3-,+1.758(7),65
$^{159}_{65}Tb$,0,stable,3/2+,+2.014(4),65
$^{160}_{65}Tb$,0,72.1 d,3-,1.790(7),65
$^{161}_{65}Tb$,0,6.9 d,3/2+ 2.2(1),NA,65
$^{147}_{66}Dy$,0,~1.3 m,(1/2+) -0.915(9),NA,66
$^{149}_{66}Dy$,0,4.23 m,7/2- -0.119(7),NA,66
$^{151}_{66}Dy$,0,17 m,7/2- -0.945(7),NA,66
$^{152}_{66}Dy$,6129,9.9 ns,21- +11.6(12),NA,66
$^{153}_{66}Dy$,0,6.3 h,7/2- -0.782(6),NA,66
$^{154}_{66}Dy$,yrast,NA,2+ g ratio to 2+ = 1.00,NA,66
$^{155}_{66}Dy$,0,10.0 h,3/2- -0.385(4),NA,66
$^{156}_{66}Dy$,138,0.82 ns,2+,+0.78(8),66
$^{157}_{66}Dy$,0,8.1 h,3/2-,-0.301(2),66
$^{158}_{66}Dy$,99,1.66 μs,2+,+0.72(5),66
$^{159}_{66}Dy$,0,144 d,3/2-,-0.354(3),66
$^{160}_{66}Dy$,87,1.96 ns,2+,+0.74(2),66
$^{161}_{66}Dy$,0,stable,5/2+,-0.480(3),66
$^{162}_{66}Dy$,81,2.25 ns,2+,+0.69(3),66
$^{163}_{66}Dy$,0,stable,5/2-,+0.673(4),66
$^{164}_{66}Dy$,73,2.39 ns,2+,+0.68(2),66
$^{165}_{66}Dy$,0,2.33 h,7/2+,-0.520(5),66
$^{152}_{67}Ho$,0,161.8 s,2-,-1.02(2),67
$^{153}_{67}Ho$,0,2.0 m,11/2-,+6.81(5),67
$^{154}_{67}Ho$,0,11.76 m,2-,-0.643(6),67
$^{155}_{67}Ho$,0,48 m,5/2+,+3.51(3),67
$^{156}_{67}Ho$,0,56 m,4(+),+2.99(3),67
$^{157}_{67}Ho$,0,12.6 m,7/2-,+4.35(3),67
$^{158}_{67}Ho$,0,11.3 m,5+,+3.77(3),67
$^{159}_{67}Ho$,0,35.05 m,7/2-,+4.28(3),67
$^{160}_{67}Ho$,0,25.6 m,5+,+3.71(3),67
$^{161}_{67}Ho$,0,2.48 h,7/2-,+4.25(3),67
$^{162}_{67}Ho$,106,67 m,6-,+3.60(4),67
$^{163}_{67}Ho$,0,4570 y,7/2-,+4.23(4),67
$^{165}_{67}Ho$,0,stable,7/2-,+4.17(3),67
$^{166}_{67}Ho$,6,1200 y,(7)-,3.60(16),67
$^{152}_{68}Er$,2184,1.8 ns,8+,-0.6(6),68
$^{153}_{68}Er$,0,37.1 s,(7/2-),-0.934(5),68
$^{154}_{68}Er$,3016 + x,39 ns,11-,+0.169(13),68
$^{155}_{68}Er$,0,5.3 m,7/2-,-0.669(4),68
$^{156}_{68}Er$,345,33 ps,2+,0.80(12),68
$^{157}_{68}Er$,0,25 m,3/2-,-0.412(3),68
$^{158}_{68}Er$,192,0.30 ns,2+,0.72(11),68
$^{159}_{68}Er$,0,36 m,3/2-,-0.304(2),68
$^{160}_{68}Er$,390,34 ps,4+,1.28(19),68
$^{161}_{68}Er$,0,3.21 h,3/2-,-0.365(3),68
$^{162}_{68}Er$,102,1.3 ns,2+,NA,68
$^{163}_{68}Er$,0,75.1 m,5/2-,+0.557(4),68
$^{164}_{68}Er$,92,1.48 ns,2+,0.697(15),68
$^{165}_{68}Er$,0,10.36 h,5/2-,+0.643(3),68
$^{166}_{68}Er$,81,1.85 ns,2+,+0.649(10),68
$^{167}_{68}Er$,0,stable,7/2+,-0.56385(12),68
$^{168}_{68}Er$,80,1.86 ns,2+,+0.62(6),68
$^{169}_{68}Er$,0,9.40 d,1/2-,+0.52(3),68
$^{170}_{68}Er$,79,1.90 ns,2+,0.633(13),68
$^{171}_{68}Er$,0,7.52 h,5/2-,0.659(10),68
$^{156}_{69}Tm$,0,1.3 m,2-,+0.40(3),69
$^{157}_{69}Tm$,0,3.6 m,1/2+,+0.476(15),69
$^{158}_{69}Tm$,0,4.3 m,2-,+0.04(2),69
$^{159}_{69}Tm$,0,9.0 m,5/2+,+3.42(3),69
$^{160}_{69}Tm$,0,9.4 m,1-,+0.16(2),69
$^{161}_{69}Tm$,0,38 m,7/2+,+2.40(2),69
$^{162}_{69}Tm$,0,21 m,1-,+0.068(8),69
$^{163}_{69}Tm$,0,1.8 h,1/2+,-0.082(1),69
$^{164}_{69}Tm$,0,2.0 m,1+,+2.83(3),69
$^{165}_{69}Tm$,0,30.06 h,1/2+,-0.139(2),69
$^{166}_{69}Tm$,0,7.7 h,2+,+0.092(1),69
$^{167}_{69}Tm$,0,9.25 d,1/2+,-0.197(2),69
$^{168}_{69}Tm$,0,85 d,3+,+0.227(11),69
$^{169}_{69}Tm$,0,stable,1/2+,-0.2310(15) d,69
$^{170}_{69}Tm$,0,128.6 d,1+,+0.246(2),69
$^{171}_{69}Tm$,0,1.92 y,1/2+,-0.228(4),69
$^{155}_{70}Yb$,0,1.59 s,(7/2-),-0.84(8),70
$^{157}_{70}Yb$,0,38.6 s,7/2-,-0.639(8),70
$^{158}_{70}Yb$,band,NA,30 - 38,(+)0.20(7),70
$^{159}_{70}Yb$,0,1.58 m,5/2(-),-0.368(8),70
$^{160}_{70}Yb$,band,NA,~4+,+1.9(10),70
$^{161}_{70}Yb$,0,4.2 m,3/2-,-0.327(8),70
$^{162}_{70}Yb$,cont.,NA,20-32,g(av) = 0.24(5),70
$^{163}_{70}Yb$,0,11.0 m,3/2-,-0.374(8),70
$^{165}_{70}Yb$,0,9.9 m,5/2-,+0.478(8),70
$^{167}_{70}Yb$,0,17.5 m,5/2-,+0.623(8),70
$^{169}_{70}Yb$,0,32.0 d,7/2+,-0.635(8),70
$^{170}_{70}Yb$,84,1.57 ns,2+,+0.674(8),70
$^{171}_{70}Yb$,0,stable,1/2-,+0.49367(1),70
$^{172}_{70}Yb$,260,0.122 ns,4+,NA,70
$^{173}_{70}Yb$,0,stable,5/2-,-0.648(3),70
$^{174}_{70}Yb$,77,1.79 ns,2+,+0.676(8),70
$^{175}_{70}Yb$,0,4.18 d,7/2-,0.768(8),70
$^{176}_{70}Yb$,82,1.8 ns,2+,+0.68(3),70
$^{169}_{71}Lu$,0,34.1 h,7/2+,2.297(13),71
$^{171}_{71}Lu$,0,8.24 d,7/2+,2.305(12),71
$^{172}_{71}Lu$,0,6.70 d,4-,2.893(15),71
$^{173}_{71}Lu$,0,1.37 y,7/2+,2.280(12),71
$^{174}_{71}Lu$,0,3.3 y,1-,1.9(3),71
$^{175}_{71}Lu$,0,stable,7/2+,+2.2323(11),71
$^{176}_{71}Lu$,0,3.6x10*10 y,7-,+3.169(5),71
$^{177}_{71}Lu$,0,6.71 d,7/2+,+2.239(11),71
$^{165}_{72}Hf$,> yrast,_,_,average g = +0.14(3),72
$^{166}_{72}Hf$,> yrast,_,_,average g = +0.19(4),72
$^{168}_{72}Hf$,>1213,~ 1 ps,>6+,average g = +0.07(4),72
$^{172}_{72}Hf$,>1037,~0.5 ps,>6+,average g = +0.14(4),72
$^{173}_{72}Hf$,1984,19.5 ns,23/2-,+6.6(2),72
$^{174}_{72}Hf$,1549,138 ns,(6+),+5.42(5),72
$^{175}_{72}Hf$,0,70 d,5/2-,-0.62(3),72
$^{176}_{72}Hf$,88,1.47 ns,2+,+0.63(6),72
$^{177}_{72}Hf$,0,stable,7/2-,+0.7935(6),72
$^{178}_{72}Hf$,93,1.47 ns,2+,+0.48(3),72
$^{179}_{72}Hf$,0,stable,9/2+,-0.6409(13),72
$^{180}_{72}Hf$,93,1.53 ns,2+,+0.61(3),72
$^{171}_{73}Ta$,184,45 ns,9/2-,NA,73
$^{173}_{73}Ta$,0,3.14 h,5/2-,1.70(3),73
$^{175}_{73}Ta$,0,10.5 h,7/2+,2.27(5),73
$^{177}_{73}Ta$,0,56.6 h,7/2+,2.25(5),73
$^{178}_{73}Ta$,0 + x,9.3 m,1+,2.740(12),73
$^{179}_{73}Ta$,0,1.82 y,7/2+,+2.289(9),73
$^{180}_{73}Ta$,75,>1.2x10*15y,9-,+4.825(11),73
$^{181}_{73}Ta$,0,stable,7/2+,+2.3705(7),73
$^{182}_{73}Ta$,0,115 d,3-,3.02(3),73
$^{183}_{73}Ta$,0,5.1 d,7/2+,(+)2.36(3),73
$^{178}_{74}W$,199,213 ps,2+,+0.50(10),74
$^{179}_{74}W$,3348,750 ns,35/2-,NA,74
$^{180}_{74}W$,104,1.22 ns,2+,0.51(3),74
$^{182}_{74}W$,100,1.37,2+,0.52(2),74
$^{183}_{74}W$,0,stable,1/2-,+0.11778476(9),74
$^{184}_{74}W$,111,1.25 ns,2+,+0.578(14),74
$^{186}_{74}W$,123,1.05 ns,2+,0.62(3),74
$^{187}_{74}W$,0,23.9 h,3/2-,0.621(15),74
$^{179}_{75}Re$,0,19.7 m,(5/2)+,2.8(4),75
$^{180}_{75}Re$,0,2.4 m,(1)-,1.6(2),75
$^{181}_{75}Re$,0,19.9 h,5/2+,3.19(7),75
$^{182}_{75}Re$,0,64.0 h,7+,2.84(6),75
$^{183}_{75}Re$,0,70.0 d,5/2+,3.168(15),75
$^{184}_{75}Re$,0,38.0 d,3-,(+)2.53(5),75
