-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 94-Pu-241     114.0     8.E-05   Alpha   14.290   Y          N/A  
 72-Hf-182     114.3       6.16   B-      61.5     M     1.16E-05  
 60-Nd-149     114.31     19.17   B-      1.728    H     2.14E-05  
 72-Hf-182     114.32      3.     B-      8.90E+6  Y     7.40E-17  
 62-Sm-136     114.4      36.     EC      47       S     5.31E-03  
 76-Os-183     114.47     20.63   EC      13.0     H     3.06E-06  
 41-Nb- 84     114.7      65.     IT      103     NS     4.37E+06  
 46-Pd-116     114.7      77.     B-      11.8     S     4.52E-02  
 64-Gd-146     114.71     44.04   EC      48.27    D     7.32E-08  
 56-Ba-127     114.8       9.3    B+      12.7     M     8.46E-05  
 58-Ce-152     114.8    *100.     B-      1.4      S   * 4.95E-01  
  6-C - 18     114.9      36.5    B-      92      MS     2.75E+00  
 79-Au-190     115.        --     IT      125     MS          N/A  
 31-Ga- 65     115.09     54.     EC      15.2     M     4.10E-04  
 82-Pb-212     115.18      0.6    B-      10.64    H     1.09E-07  
 52-Te-134     115.2      49.     IT      164.1   NS     2.07E+06  
 70-Yb-156     115.2      73.08   EC      26.1     S     1.94E-02  
 85-At-216     115.2       0.27   Alpha   0.30    MS     6.24E+00  
" 51-Sb-135     115.30      1.09   B-,N    1.68     S     4.50E-03  "
 64-Gd-146     115.51     44.04   EC      48.27    D     7.32E-08  
 91-Pa-229     115.55      0.02   Alpha   1.50     D     1.07E-09  
 74-W -177     115.65  ~  46.5    EC      132      M  ~  4.07E-05  
 50-Sn-115     115.9      53.     IT      159     US     2.31E+03  
 44-Ru-110     116.1       0.45   B-      11.6     S     2.69E-04  
 52-Te-132     116.30      1.96   B-      3.204    D     4.91E-08  
 47-Ag-110     116.48    8.E-03   IT      249.76   D          N/A  
 60-Nd-151     116.80     38.97   B-      12.44    M     3.62E-04  
 67-Ho-166     116.83     13.     IT      185     US     4.87E+02  
 66-Dy-159     117.       26.45   IT      122     US     1.50E+03  
 91-Pa-229     117.2       0.05   EC      1.50     D     2.67E-09  
 81-Tl-209     117.21     84.3    B-      2.20     M     4.43E-03  
 72-Hf-168     117.30      4.35   EC      25.95    M     1.94E-05  
 35-Br- 93     117.4      19.     B-      102     MS     1.29E+00  
 61-Pm-156     117.42     13.8    B-      26.70    S     3.58E-03  
 83-Bi-188     117.5       --     Alpha   60      MS          N/A  
 95-Am-243     117.60      0.56   Alpha   7370     Y     1.67E-14  
 57-La-147     117.72     17.6    B-      4.06     S     3.00E-02  
 76-Os-174     118.     *100.     EC      44       S   * 1.58E-02  
 79-Au-180     118.        --     Alpha   8.1      S          N/A  
 80-Hg-185     118.        --     Alpha   21.6     S          N/A  
 76-Os-181     118.01     12.74   EC      105      M     1.40E-05  
 76-Os-181     118.09     28.3    EC      2.7      M     1.21E-03  
 68-Er-169     118.19    1.E-04   B-      9.392    D          N/A  
 57-La-145     118.2       3.64   B-      24.8     S     1.02E-03  
 67-Ho-160     118.41     56.5    IT      3        S     1.31E-01  
 58-Ce-151     118.57      --     B-      1.02     S          N/A  
 39-Y -100     118.59     15.4    B-      735     MS     1.45E-01  
 16-S - 42     118.6      83.     B-      1.013    S     5.68E-01  
 54-Xe-141     118.70     16.08   B-      1.73     S     6.44E-02  
 70-Yb-162     118.70     33.6    EC      18.87    M     2.06E-04  
 47-Ag-103     118.74     31.2    EC      65.7     M     5.49E-05  
 42-Mo- 89     118.8      71.     IT      190     MS     2.59E+00  
 43-Tc- 89     118.8       --     EC      12.8     S          N/A  
 43-Tc- 89     118.8       --     EC      12.9     S          N/A  
 62-Sm-134     118.9      60.     EC      9.5      S     4.38E-02  
 91-Pa-229     119.0       0.13   EC      1.50     D     6.95E-09  
 75-Re-190     119.12     11.11   IT      3.2      H     6.68E-06  
 58-Ce-131     119.18   * 45.2    EC      10.3     M   * 5.07E-04  
 40-Zr-101     119.3      10.98   B-      2.3      S     3.31E-02  
 38-Sr- 98     119.35     72.93   B-      0.653    S     7.74E-01  
 65-Tb-139     119.7       --     B+      1.6      S          N/A  
 61-Pm-153     119.76      7.94   B-      5.25     M     1.75E-04  
 77-Ir-184     119.79     30.78   EC      3.09     H     1.92E-05  
 76-Os-184     119.8    * 43.     IT      23.6    NS   * 1.26E+07  
 54-Xe-118     119.9    * 76.     B+      3.8      M   * 2.31E-03  
 88-Ra-211     120.0     1.E-03   Alpha   13       S          N/A  
 99-Es-255     120.        --     B-      39.8     D          N/A  
 74-W -179     120.1       0.33   IT      6.40     M     5.96E-06  
 81-Tl-196     120.1       --     IT      1.41     H          N/A  
 72-Hf-170     120.19     15.07   EC      16.01    H     1.81E-06  
 60-Nd-130     120.3    * 39.     EC      13       S   * 2.08E-02  
 66-Dy-159     120.4      19.55   IT      122     US     1.11E+03  
  6-C - 16     120.42      0.67   B-      0.747    S     6.22E-03  
 71-Lu-165     120.60   *100.     EC      10.74    M   * 1.08E-03  
 33-As- 67     120.8       9.3    EC      42.5     S     1.52E-03  
 42-Mo-110     120.8      23.52   B-      0.30     S     5.43E-01  
 63-Eu-135     120.8       --     EC      1.5      S          N/A  
 68-Er-175     120.9   ~  31.04   B-      1.2      M  ~  2.99E-03  
 92-U -234     120.90      0.03   Alpha   2.455E+5 Y     2.68E-17  
 67-Ho-159     121.01     36.2    EC      33.05    M     1.27E-04  
 32-Ge- 75     121.15    5.E-03   B-      47.7     S          N/A  
 58-Ce-148     121.17     13.59   B-      56       S     1.68E-03  
 56-Ba-146     121.2      14.2    B-      2.22     S     4.43E-02  
 61-Pm-147     121.22    3.E-03   B-      2.6234   Y          N/A  
 63-Eu-147     121.22     21.23   EC      24.1     D     7.07E-08  
 68-Er-157     121.4      10.08   EC      18.65    M     6.24E-05  
 20-Ca- 48     121.41      --     B-      1.9E19   Y          N/A  
" 55-Cs-114     121.6    * 32.     EC,P    0.57     S   * 3.89E-01  "
 71-Lu-177     121.62      5.95   IT      160.44   D     2.98E-09  
 39-Y - 99     121.7      47.3    B-      1.470    S     2.23E-01  
 63-Eu-152     121.78      7.     EC      9.3116   H     1.45E-06  
 63-Eu-152     121.78     28.67   EC      13.537   Y     4.65E-10  
 61-Pm-152     121.8      15.7    B-      4.12     M     4.40E-04  
 61-Pm-152     121.8      45.06   B-      7.52     M     6.92E-04  
 36-Kr- 90     121.82     35.49   B-      32.32    S     7.61E-03  
" 39-Y -100     121.82   *  0.01   B-,N    735     MS   * 9.43E-05  "
 63-Eu-131     122.        --     P       17.8    MS          N/A  
 72-Hf-171     122.0    *230.     EC      12.1     H   * 3.66E-05  
 77-Ir-170     122.        --     Alpha   811     MS          N/A  
 25-Mn- 57     122.06     13.91   B-      85.4     S     1.13E-03  
 27-Co- 57     122.06     85.6    EC      271.74   D     2.53E-08  
 72-Hf-164     122.1    *211.     EC      111      S   * 1.32E-02  
 38-Sr- 96     122.30     76.5    B-      1.07     S     4.96E-01  
 42-Mo- 90     122.37     64.49   EC      5.67     H     2.19E-05  
 92-U -229     122.51   *  2.     EC      58       M   * 3.98E-06  
 75-Re-186     122.64      0.6    EC      3.7183   D     1.29E-08  
 33-As- 67     122.7      19.2    EC      42.5     S     3.13E-03  
 72-Hf-179     122.70     27.66   IT      25.05    D     8.86E-08  
 80-Hg-195     122.78      0.03   IT      41.6     H     1.39E-09  
 31-Ga- 61     122.9       2.64   EC      0.15     S     1.22E-01  
 63-Eu-154     123.07     40.41   B-      8.601    Y     1.03E-09  
 65-Tb-154     123.07     25.84   EC      21.5     H     2.31E-06  
 65-Tb-154     123.07     30.3    EC      9.4      H     6.21E-06  
 77-Ir-172     123.2    *  1.08   Alpha   4.4      S   * 1.70E-03  
 70-Yb-163     123.21      4.7    EC      11.05    M     4.91E-05  
 71-Lu-164     123.27   *100.     EC      3.14     M   * 3.68E-03  
 75-Re-172     123.3    * 45.     EC      15       S   * 2.08E-02  
 75-Re-172     123.3    *135.     EC      55       S   * 1.70E-02  
 78-Pt-180     123.3   <  20.     EC      56       S  <  2.48E-03  
 71-Lu-179     123.38      0.46   B-      4.59     H     1.93E-07  
 74-W -169     123.4    *167.     EC      74       S   * 1.56E-02  
 56-Ba-123     123.6    * 54.8    EC      2.7      M   * 2.34E-03  
 72-Hf-169     123.6       3.86   EC      3.24     M     1.38E-04  
 72-Hf-173     123.67     83.     EC      23.6     H     6.77E-06  
 56-Ba-131     123.80     29.76   EC      11.50    D     2.08E-07  
 83-Bi-184     124.        --     Alpha   13      MS          N/A  
 73-Ta-168     124.10     33.     EC      2.0      M     1.91E-03  
102-No-257     124.1       1.46   Alpha   24.5     S     4.13E-04  
 39-Y - 81     124.16     41.18   EC      70.4     S     4.05E-03  
 22-Ti- 52     124.45    100.     B-      1.7      M     6.80E-03  
 87-Fr-212     124.5       1.42   Alpha   20.0     M     8.20E-06  
 54-Xe-127     124.6      69.     IT      69.2     S     6.91E-03  
 55-Cs-127     124.70     11.37   B+      6.25     H     3.50E-06  
 87-Fr-232     124.7      20.     B-      5.5      S     2.52E-02  
 86-Rn-228     124.72   *100.     B-      65       S   * 1.07E-02  
 46-Pd- 96     124.9      65.7    EC      122      S     3.73E-03  
 69-Tm-162  <  125.        --     IT      24.3     S          N/A  
 76-Os-175     125.0    *100.     EC      1.4      M   * 8.25E-03  
" 37-Rb-100     125.1       6.45   B-,N    51      MS     8.77E-01  "
 39-Y - 99     125.1      87.     IT      8.6     US     7.01E+04  
 38-Sr- 99     125.12     16.1    B-      270     MS     4.13E-01  
 37-Rb- 99     125.2    * 40.     B-      54      MS   * 5.13E+00  
 74-W -185     125.36      0.02   B-      75.1     D     2.14E-11  
 13-Al- 34     125.4      25.8    B-      42      MS     4.26E+00  
 46-Pd-118     125.4      30.87   B-      1.9      S     1.13E-01  
 76-Os-177     125.4       3.5    EC      3.0      M     1.35E-04  
 45-Rh-115     125.6    * 33.3    B-      0.99     S   * 2.33E-01  
 69-Tm-160     125.7    * 35.     EC      9.4      M   * 4.30E-04  
 49-In-123     125.76  ~*40000.   B-      47.4     S  ~* 5.85E+00  
 69-Tm-160     125.8       6.48   EC      74.5     S     6.03E-04  
 74-W -166     125.8      32.89   EC      19.2     S     1.19E-02  
 72-Hf-172     125.81     11.3    EC      1.87     Y     1.33E-09  
 59-Pr-127     125.84     25.     EC      4.2      S     4.13E-02  
 24-Cr- 55     126.0     2.E-03   B-      3.497    M          N/A  
 24-Cr- 58     126.       53.     B-      7.0      S     5.25E-02  
 26-Fe- 55     126.0     1.E-07   EC      2.744    Y          N/A  
 37-Rb-102     126.0       --     B-      37      MS          N/A  
 59-Pr-127     126.        --     B+      4.2      S          N/A  
 46-Pd-100     126.15      7.8    EC      3.63     D     1.72E-07  
 76-Os-196     126.2       5.3    B-      34.9     M     1.75E-05  
 40-Zr-103     126.3    * 84.     B-      1.3      S   * 4.48E-01  
 62-Sm-135     126.3    * 88.     EC      10.3     S   * 5.92E-02  
 87-Fr-210     126.3    * 71.     Alpha   3.18     M   * 2.58E-03  
 46-Pd-114     126.7       4.49   B-      2.42     M     2.14E-04  
 77-Ir-182     126.9      34.8    EC      15.0     M     2.68E-04  
 44-Ru-114     127.0      24.     B-      0.53     S     3.14E-01  
 28-Ni- 57     127.16     16.67   B+      35.60    H     9.02E-07  
 43-Tc-101     127.22      2.63   B-      14.2     M     2.14E-05  
 45-Rh-101     127.23      0.64   EC      4.34     D     1.18E-08  
 45-Rh-101     127.23     68.04   EC      3.3      Y     4.53E-09  
 61-Pm-153     127.30     18.     B-      5.25     M     3.96E-04  
 19-K - 50     127.4      45.1    IT      125     NS     2.50E+06  
 55-Cs-134     127.50     12.6    IT      2.912    H     8.33E-06  
 22-Ti- 53     127.6      45.77   B-      32.7     S     9.70E-03  
 72-Hf-172     127.7    * 95.     IT      163     NS   * 4.04E+06  
 47-Ag-118     127.74      7.22   IT      2.0      S     2.50E-02  
 45-Rh-115     127.9    * 64.6    B-      0.99     S   * 4.52E-01  
 44-Ru-114     128.2      10.08   B-      0.53     S     1.32E-01  
 38-Sr-101     128.34     17.     B-      118     MS     9.99E-01  
 79-Au-194     128.58     27.     IT      420     MS     4.46E-01  
 43-Tc-109     128.7    *100.     B-      0.86     S   * 8.06E-01  
 61-Pm-135     128.8    * 66.     EC      49       S   * 9.34E-03  
 79-Au-192     128.9       --     IT      160     MS          N/A  
 71-Lu-174     129.07   *100.     IT      395     NS   * 1.75E+06  
 92-U -232     129.08      0.07   Alpha   68.9     Y     2.23E-13  
 87-Fr-230     129.1      11.4    B-      19.1     S     4.14E-03  
 56-Ba-129     129.14      5.51   EC      2.23     H     4.76E-06  
 37-Rb-100     129.2      54.7    B-      51      MS     7.43E+00  
 76-Os-191     129.43     26.5    B-      15.4     D     1.38E-07  
 77-Ir-191     129.43     26.5    IT      4.899    S     3.75E-02  
 80-Hg-182     129.5      29.68   EC      10.83    S     1.90E-02  
 45-Rh-105     129.57      --     IT      40       S          N/A  
 36-Kr- 77     129.64     81.     EC      74.4     M     1.26E-04  
 79-Au-195     129.76      0.84   EC      186.098  D     3.62E-10  
 78-Pt-195     129.79      2.9    IT      4.010    D     5.80E-08  
 49-In-130     129.80     64.78   B-      0.29     S     1.55E+00  
 99-Es-251     129.8       0.84   EC      33       H     4.90E-08  
 36-Kr- 85     129.81      0.3    B-      4.480    H     1.29E-07  
 38-Sr- 85     129.82      0.15   EC      67.63    M     2.56E-07  
 46-Pd-119     129.9    *100.     B-      0.92     S   * 7.53E-01  
 34-Se- 89     130.0       --     B-      0.41     S          N/A  
 68-Er-150     130.0       2.5    EC      18.5     S     9.37E-04  
 78-Pt-197     130.        3.19   B-      95.41    M     3.86E-06  
 97-Bk-251     130.        3.02   B-      55.6     M     6.27E-06  
 36-Kr- 79     130.01     27.7    IT      50       S     3.84E-03  
 74-W -173     130.20   * 31.5    EC      7.5      M   * 4.85E-04  
 79-Au-197     130.2       3.12   IT      7.73     S     2.80E-03  
 80-Hg-197     130.2       3.17   EC      23.8     H     2.56E-07  
 59-Pr-150     130.23     32.     B-      6.19     S     3.58E-02  
 58-Ce-134     130.41      0.21   EC      3.16     D     5.33E-09  
 86-Rn-219     130.60      0.13   Alpha   3.96     S     2.28E-04  
 42-Mo- 88     130.9    * 60.     EC      8.0      M   * 8.66E-04  
 20-Ca- 48     130.94      --     B-      1.9E19   Y          N/A  
 68-Er-161     131.       14.88   IT      7.5     US     1.38E+04  
 90-Th-226     131.02      0.28   Alpha   30.57    M     1.06E-06  
 58-Ce-130     131.1      37.     EC      22.9     M     1.87E-04  
 91-Pa-234     131.30     18.9    B-      6.70     H     5.43E-06  
 89-Ac-224     131.35     26.9    EC      2.78     H     1.86E-05  
 49-In-105     131.47     41.3    EC      5.07     M     9.41E-04  
 47-Ag-115     131.5    * 60.83   B-      18.0     S   * 2.34E-02  
 74-W -185     131.55      4.33   IT      1.67     M     3.00E-04  
 87-Fr-224     131.61     16.3    B-      3.33     M     5.65E-04  
 90-Th-228     131.61      0.13   Alpha   1.912    Y     1.49E-11  
 45-Rh-117     131.8      33.     B-      0.44     S     5.20E-01  
 67-Ho-159     131.97     23.6    EC      33.05    M     8.25E-05  
 77-Ir-180     132.1      36.21   EC      1.5      M     2.79E-03  
 77-Ir-178     132.2    * 78.     EC      12       S   * 4.51E-02  
 96-Cm-241     132.41      3.86   EC      32.8     D     9.44E-09  
 71-Lu-165     132.49   *100.     EC      10.74    M   * 1.08E-03  
 36-Kr- 75     132.5      67.     EC      4.29     M     1.80E-03  
 50-Sn-104     132.7      75.     B+      20.8     S     2.50E-02  
 40-Zr- 90     132.72      4.18   IT      809.2   MS     3.58E-02  
 54-Xe-121     132.8      10.96   EC      40.1     M     3.16E-05  
 73-Ta-181     133.     * 50.     IT      18.9    US   * 1.83E+04  
 72-Hf-181     133.02     43.31   B-      42.39    D     8.20E-08  
 96-Cm-245     133.05      2.83   Alpha   8500     Y     7.31E-14  
 93-Np-241     133.1       0.86   B-      13.9     M     7.15E-06  
 70-Yb-154     133.2       4.81   EC      0.409    S     8.15E-02  
 89-Ac-220     133.3       8.2    Alpha   26.4    MS     2.15E+00  
 57-La-149     133.5      13.5    B-      1.05     S     8.91E-02  
 58-Ce-144     133.51     11.09   B-      284.91   D     3.12E-09  
 56-Ba-148     133.53      3.88   B-      0.612    S     4.39E-02  
 67-Ho-172     133.6      36.     B-      25       S     9.98E-03  
 90-Th-215     133.6       --     Alpha   1.2      S          N/A  
 91-Pa-216     133.6       --     Alpha   167     MS          N/A  
 39-Y -101     133.67     30.     B-      0.45     S     4.62E-01  
 42-Mo- 87     133.9       3.3    B+      14.02    S     1.63E-03  
 74-W -179     133.9       0.11   EC      37.05    M     3.43E-07  
 80-Hg-197     133.98     33.48   IT      23.8     H     2.71E-06  
 57-La-121     134.0    * 73.     EC      5.3      S   * 9.55E-02  
 59-Pr-133     134.3    *100.     EC      6.5      M   * 1.78E-03  
 78-Pt-175     134.4       --     Alpha   2.54     S          N/A  
 83-Bi-195     134.4    * 69.     EC      --           *      N/A  
 47-Ag-103     134.44     21.4    IT      5.7      S     2.60E-02  
 53-I -114     134.5    *  0.08   IT      6.2      S   * 8.94E-05  
 44-Ru- 92     134.60     65.47   EC      3.65     M     2.07E-03  
 25-Mn- 64     135.        --     IT      0.50    MS          N/A  
 46-Pd-121     135.        --     IT      --                  N/A  
 77-Ir-176     135.0    *656.98   EC      8.7      S   * 5.23E-01  
 40-Zr- 87     135.06     27.2    IT      14.0     S     1.35E-02  
 41-Nb- 87     135.06     27.2    B+      3.75     M     8.38E-04  
 78-Pt-185     135.3    * 80.     EC      --           *      N/A  
 81-Tl-201     135.34      2.56   EC      3.0421   D     6.75E-08  
 77-Ir-190     135.35      2.81   IT      3.087    H     1.75E-06  
 47-Ag-117     135.4      23.     B-      72.8     S     2.19E-03  
 47-Ag-117     135.4      51.3    B-      5.34     S     6.66E-02  
 79-Au-193     135.4       --     EC      3.9      S          N/A  
 78-Pt-193     135.50      --     IT      4.33     D          N/A  
 72-Hf-161     135.6    * 99.87   EC      18.2     S   * 3.80E-02  
 59-Pr-125     135.76      --     EC      3.3      S          N/A  
 57-La-132     135.8      49.4    IT      24.3     M     2.35E-04  
 71-Lu-161     135.8      41.     IT      7.3     MS     3.89E+01  
 78-Pt-200     135.94      3.24   B-      12.6     H     4.95E-07  
 34-Se- 75     136.00     58.25   EC      119.79   D     3.90E-08  
 46-Pd- 99     136.0      73.     EC      21.4     M     3.94E-04  
 32-Ge- 75     136.01      0.02   B-      47.7     S     2.91E-06  
 43-Tc-103     136.08     16.62   B-      54.2     S     2.13E-03  
 77-Ir-173     136.2       3.96   Alpha   2.16     S     1.27E-02  
 78-Pt-173     136.2       --     Alpha   382     MS          N/A  
 78-Pt-182     136.2      12.62   EC      2.67     M     5.46E-04  
 74-W -181     136.28      0.03   EC      121.2    D     1.99E-11  
 67-Ho-155     136.30      5.     EC      48       M     1.20E-05  
 77-Ir-172     136.3    *  0.2    Alpha   4.4      S   * 3.15E-04  
 27-Co- 57     136.47     10.68   EC      271.74   D     3.15E-09  
 75-Re-167     136.6    * 50.49   EC      5.9      S   * 5.93E-02  
 67-Ho-166     136.66     50.     IT      185     US     1.87E+03  
 60-Nd-132     136.9       7.94   EC      94       S     5.85E-04  
 77-Ir-186     137.14     22.96   EC      1.90     H     2.33E-05  
 75-Re-186     137.16      9.47   B-      3.7183   D     2.04E-07  
 77-Ir-186     137.16     41.41   EC      16.64    H     4.79E-06  
 79-Au-194     137.16     17.28   IT      420     MS     2.85E-01  
 41-Nb- 99     137.7      81.     B-      15.0     S     3.74E-02  
 67-Ho-156     137.80     51.1    EC      56       M     1.05E-04  
 48-Cd-130     138.       66.     IT      220     NS     2.08E+06  
 63-Eu-163     138.        --     B-      7.7      S          N/A  
 49-In-118     138.2      21.59   IT      8.5      S     1.76E-02  
 59-Pr-131     138.29   *  1.62   EC      5.71     S   * 1.97E-03  
 59-Pr-149     138.46     11.     B-      2.26     M     5.62E-04  
 66-Dy-155     138.46     10.6    IT      6       US     1.22E+04  
 57-La-121     138.7    *100.     EC      5.3      S   * 1.31E-01  
 55-Cs-134     138.73    4.E-03   IT      2.912    H          N/A  
 76-Os-193     138.92      3.79   B-      30.11    H     2.42E-07  
 85-At-202     139.        --     Alpha   184      S          N/A  
 99-Es-252     139.03     11.66   EC      471.7    D     1.98E-09  
 72-Hf-184     139.1      45.6    B-      4.12     H     2.13E-05  
 72-Hf-173     139.63     12.7    EC      23.6     H     1.04E-06  
 32-Ge- 75     139.68     39.36   IT      47.7     S     5.72E-03  
 56-Ba-120     139.7      17.86   EC      24       S     5.16E-03  
 48-Cd-100     139.71      6.73   EC      49.1     S     9.50E-04  
 65-Tb-147     139.89     30.69   EC      1.64     H     3.60E-05  
 72-Hf-167     139.9       3.8    EC      2.05     M     2.14E-04  
 21-Sc- 56     140.        1.4    IT      20      US     4.85E+02  
 62-Sm-140     140.0       5.     EC      14.82    M     3.90E-05  
 90-Th-223     140.0       5.8    Alpha   0.60     S     6.70E-02  
 70-Yb-160     140.35      9.32   EC      4.8      M     2.24E-04  
 60-Nd-130     140.5    * 47.     EC      13       S   * 2.51E-02  
 43-Tc- 99     140.51     89.     IT      6.0067   H     2.85E-05  
 45-Rh-102     140.7       --     IT      3.742    Y          N/A  
 56-Ba-146     140.7      20.18   B-      2.22     S     6.30E-02  
 89-Ac-224     140.7       0.32   Alpha   2.78     H     2.22E-07  
 90-Th-232     140.88      0.02   Alpha   14.05E+9 Y     3.13E-22  
 56-Ba-125     140.9    * 86.     EC      3.3      M   * 3.01E-03  
" 37-Rb- 98     141.0       1.04   B-,N    114     MS     6.32E-02  "
 81-Tl-201     141.1       0.28   EC      3.0421   D     7.38E-09  
 41-Nb- 90     141.18     66.77   EC      14.60    H     8.81E-06  
 35-Br- 75     141.19      6.6    EC      96.7     M     7.88E-06  
 29-Cu- 70     141.3       5.79   IT      6.6      S     6.08E-03  
 54-Xe-125     141.4      19.93   IT      56.9     S     2.43E-03  
 62-Sm-155     141.41      1.98   B-      22.3     M     1.03E-05  
 70-Yb-152     141.61     11.27   EC      3.04     S     2.57E-02  
 55-Cs-148     141.7    *100.     B-      146     MS   * 4.75E+00  
 59-Pr-153     141.7      27.5    B-      4.28     S     4.45E-02  
 59-Pr-124     142.        --     EC      1.2      S          N/A  
" 60-Nd-125     142.        --     EC,P    0.65     S          N/A  "
 42-Mo-110     142.1      49.     B-      0.30     S     1.13E+00  
 36-Kr- 92     142.31     64.1    B-      1.840    S     2.41E-01  
 21-Sc- 46     142.53     62.     IT      18.75    S     2.29E-02  
 57-La-149     142.6       6.78   B-      1.05     S     4.48E-02  
 80-Hg-190     142.6      68.     EC      20.0     M     3.93E-04  
 43-Tc- 99     142.63      0.02   IT      6.0067   H     6.41E-09  
 87-Fr-229     142.7      15.89   B-      50.2     S     2.19E-03  
 30-Zn- 74     143.14     21.     B-      95.6     S     1.52E-03  
 43-Tc-105     143.26     15.7    B-      7.6      M     2.39E-04  
104-Rf-255     143.3    * 24.48   Alpha   1.68     S   * 1.01E-01  
 48-Cd-124     143.33     18.06   B-      1.25     S     1.00E-01  
 37-Rb- 79     143.41     13.91   EC      22.9     M     7.02E-05  
 92-U -235     143.76     10.96   Alpha   703.8E+6 Y     3.42E-18  
 90-Th-230     143.87      0.05   Alpha   7.538E+4 Y     1.46E-16  
 28-Ni- 76     144.       92.     IT      0.59    US     1.08E+06  
 36-Kr- 73     144.2      22.32   IT      107     NS     1.45E+06  
 37-Rb- 98     144.22     46.     B-      114     MS     2.80E+00  
 37-Rb- 98     144.22     68.8    B-      96      MS     4.97E+00  
 89-Ac-224     144.44      0.2    Alpha   2.78     H     1.39E-07  
" 35-Br- 92     144.6       3.23   B-,N    0.343    S     6.53E-02  "
" 37-Rb- 99     144.6       8.59   B-,N    50.3    MS     1.18E+00  "
" 37-Rb-100     144.6   <*  3.     B-,2N   51      MS  <* 4.08E-01  "
 30-Zn- 72     144.7      82.78   B-      46.5     H     3.43E-06  
 52-Te-125     144.78    4.E-07   IT      57.40    D          N/A  
100-Fm-253     144.8       0.19   Alpha   3.00     D     5.08E-09  
 38-Sr- 77     144.82      6.79   EC      9.0      S     5.23E-03  
 76-Os-181     144.84    100.     EC      2.7      M     4.28E-03  
 50-Sn-130     144.91     22.66   B-      1.7      M     1.54E-03  
 66-Dy-145     145.1    * 77.     EC      6        S   * 8.90E-02  
 87-Fr-218     145.1    *  4.     Alpha   1.0     MS   * 2.77E+01  
 87-Fr-218     145.1    * 30.     Alpha   22.0    MS   * 9.45E+00  
 58-Ce-141     145.44     48.29   B-      32.508   D     1.19E-07  
 74-W -168     145.5   <   1.56   EC      50.9     S  <  2.12E-04  
 94-Pu-237     145.54      --     IT      0.18     S          N/A  
 96-Cm-241     145.54      --     Alpha   32.8     D          N/A  
 33-As- 69     145.96      4.96   EC      15.23    M     3.76E-05  
 61-Pm-131     146.0       --     EC      6.3      S          N/A  
 79-Au-200     146.07      3.91   IT      18.7     H     4.03E-07  
 59-Pr-125     146.1       --     EC      3.3      S          N/A  
 22-Ti- 44     146.22      0.09   EC      60.0     Y     3.29E-13  
 17-Cl- 34     146.36     40.54   IT      32.00    M     1.46E-04  
 91-Pa-229     146.4       0.1    EC      1.50     D     5.35E-09  
 96-Cm-239     146.4       --     EC      2.9      H          N/A  
 97-Bk-243     146.4       0.01   Alpha   4.5      H     4.28E-09  
 36-Kr- 77     146.59     37.26   EC      74.4     M     5.79E-05  
 39-Y -101     146.64     30.     B-      0.45     S     4.62E-01  
 58-Ce-128     146.7     100.     EC      3.93     M     2.94E-03  
 73-Ta-182     146.78     36.48   IT      15.84    M     2.66E-04  
 79-Au-192     146.9       --     IT      160     MS          N/A  
 38-Sr- 77     146.94     86.12   EC      9.0      S     6.63E-02  
 68-Er-161     147.       22.32   IT      7.5     US     2.06E+04  
 95-Am-234     147.        --     EC      2.32     M          N/A  
 98-Cf-246     147.      4.E-03   Alpha   35.7     H          N/A  
 34-Se- 71     147.50     47.5    EC      4.74     M     1.16E-03  
 82-Pb-200     147.63     38.18   EC      21.5     H     3.42E-06  
 60-Nd-132     147.7      58.8    EC      94       S     4.34E-03  
 38-Sr- 81     147.76     30.1    EC      22.3     M     1.56E-04  
 42-Mo-105     147.8      14.75   B-      35.6     S     2.87E-03  
 80-Hg-181     147.8    *207.     EC      3.6      S   * 3.99E-01  
 79-Au-196     147.81     43.5    IT      9.6      H     8.72E-06  
 78-Pt-177     148.0    * 94.3    EC      10.6     S   * 6.17E-02  
 87-Fr-210     148.0    * 68.87   Alpha   3.18     M   * 2.50E-03  
 67-Ho-144     148.1      43.56   IT      506     NS     5.97E+05  
 42-Mo-102     148.19      3.76   B-      11.3     M     3.84E-05  
 47-Ag-103     148.20     28.31   EC      65.7     M     4.98E-05  
 77-Ir-177     148.3       5.76   EC      30       S     1.33E-03  
 55-Cs-130     148.35      5.09   IT      3.46     M     1.70E-04  
 94-Pu-241     148.57    2.E-04   Alpha   14.290   Y          N/A  
 35-Br- 78     148.6      77.     IT      119.4   US     4.47E+03  
 54-Xe-122     148.61      2.62   EC      20.1     H     2.51E-07  
 85-At-195     148.7       --     Alpha   147     MS          N/A  
 54-Xe-123     148.9      48.9    EC      2.08     H     4.53E-05  
 74-W -175     149.2       3.4    EC      35.2     M     1.12E-05  
 88-Ra-221     149.2      12.5    Alpha   28       S     3.09E-03  
 52-Te-131     149.72     68.8    B-      25.0     M     3.18E-04  
 64-Gd-149     149.74     48.2    EC      9.28     D     4.17E-07  
 54-Xe-109     150.        --     Alpha   13      MS          N/A  
 78-Pt-201     150.        --     B-      2.5      M          N/A  
" 80-Hg-181     150.        --     EC,P    3.6      S          N/A  "
 86-Rn-221     150.06      4.54   B-      25       M     2.10E-05  
