-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 45-Rh-100      32.7     2.E-03   IT      4.6      M          N/A  
 62-Sm-153      32.9      49.5    IT      10.6    MS     3.24E+01  
 94-Pu-237      33.20      0.07   EC      45.64    D     1.23E-10  
 95-Am-241      33.20      0.13   Alpha   432.6    Y     6.60E-14  
 57-La-136      33.5      39.2    IT      114     MS     2.38E+00  
 83-Bi-192      33.6       --     Alpha   39.6     S          N/A  
 43-Tc- 96      34.20      0.03   IT      51.5     M     6.73E-08  
 94-Pu-235      34.2       0.23   EC      25.3     M     1.05E-06  
 71-Lu-166      34.37      --     IT      1.41     M          N/A  
 45-Rh-117      34.6      10.8    B-      0.44     S     1.70E-01  
 46-Pd-117      34.6      10.8    IT      19.1    MS     3.92E+00  
 81-Tl-187      35.        --     IT      15.60    S          N/A  
 58-Ce-151      35.1    *450.     B-      1.76     S   * 1.77E+00  
 79-Au-194      35.19      2.27   IT      600     MS     2.62E-02  
 68-Er-156      35.37     26.     EC      19.5     M     1.54E-04  
 74-W -174      35.42     15.28   EC      33.2     M     5.32E-05  
 53-I -125      35.49      6.68   EC      59.400   D     9.02E-09  
 39-Y - 83      35.5      19.34   B+      7.08     M     3.16E-04  
 52-Te-125      35.50      7.3    IT      57.40    D     1.02E-08  
 63-Eu-154      35.80     12.58   IT      46.0     M     3.16E-05  
 61-Pm-153      35.85     14.76   B-      5.25     M     3.25E-04  
 62-Sm-162      36.0       --     B-      2.4      S          N/A  
 77-Ir-190      36.18      2.56   IT      3.087    H     1.60E-06  
 42-Mo-104      36.3      14.     B-      60       S     1.62E-03  
 35-Br- 80      37.05     39.1    IT      4.4205   H     1.70E-05  
 80-Hg-195      37.09      1.93   IT      41.6     H     8.93E-08  
 52-Te-121      37.14      0.94   EC      164.2    D     4.59E-10  
 50-Sn-121      37.15      1.85   B-      43.9     Y     9.26E-12  
 66-Dy-157      37.3      23.     IT      21.6    MS     7.38E+00  
 67-Ho-164      37.34     11.55   IT      37.5     M     3.56E-05  
 89-Ac-227      37.9       0.05   B-      21.772   Y     5.04E-13  
 98-Cf-244      38.        --     Alpha   19.4     M          N/A  
 69-Tm-159      38.32      2.53   EC      9.13     M     3.20E-05  
 67-Ho-162      38.34      7.87   IT      67.0     M     1.36E-05  
 94-Pu-239      38.66      0.01   Alpha   24110    Y     9.11E-17  
 43-Tc- 95      38.9       --     IT      61       D          N/A  
