Nucleus,Ex,T1/2,I,μ(nm),A,Z,symbol,latex
40 Zr 90,2319,0.8 s,5-,6.25(13),90,40,Zr,$^{90}_{40}Zr$
40 Zr 91,0,stable,5/2+,-1.30362(2),91,40,Zr,$^{91}_{40}Zr$
40 Zr 92,934,4.85 ps,2+,-0.06(10),92,40,Zr,$^{92}_{40}Zr$
40 Zr 94,918,7.3 ps,2+,-0.52(12),94,40,Zr,$^{94}_{40}Zr$
40 Zr 95,0,64.0 d,5/2+,1.13(2),95,40,Zr,$^{95}_{40}Zr$
40 Zr 97,1264,102 ns,7/2+,+1.37(14),97,40,Zr,$^{97}_{40}Zr$
40 Zr 99,122,1.07 ns,3/2+,+0.42(6),99,40,Zr,$^{99}_{40}Zr$
40 Zr 100,213,0.61 ns,2+,0.52(12),100,40,Zr,$^{100}_{40}Zr$
41Nb 87,2412,58 ps,17/2-,+7.0(9),87,87,Nb,$^{87}_{87}Nb$
41 Nb 89,0,2.0 h,9/2+,6.216(5),89,41,Nb,$^{89}_{41}Nb$
41 Nb 90,0,14.6 h,8+,4.961(4),90,41,Nb,$^{90}_{41}Nb$
41 Nb 91,1985,10 ns,13/2-,+9.14(13),91,41,Nb,$^{91}_{41}Nb$
41 Nb 92,135,10.15 d,2+,(+)6.137(4),92,41,Nb,$^{92}_{41}Nb$
41 Nb 93,0,stable,9/2+,+6.1705(3),93,41,Nb,$^{93}_{41}Nb$
41 Nb 95,0,35.2 d,9/2+,6.141(5),95,41,Nb,$^{95}_{41}Nb$
41 Nb 96,0,23.4 h,6+,4.976(4),96,41,Nb,$^{96}_{41}Nb$
41 Nb 97,0,72.1 m,9/2+,6.153(5),97,41,Nb,$^{97}_{41}Nb$
42 Mo 88,_,_,"6+,8+",avge g = +0.5(3),88,42,Mo,$^{88}_{42}Mo$
42 Mo 89,2584,9.5 ns,21/2+,+8.3(4),89,42,Mo,$^{89}_{42}Mo$
42 Mo 90,2594,16 ps,5-,+5.5(14),90,42,Mo,$^{90}_{42}Mo$
42 Mo 91,2267,47 ns,21/2+,+8.81(8),91,42,Mo,$^{91}_{42}Mo$
42 Mo 92,2760,190 ns,8+,+11.30(5),92,42,Mo,$^{92}_{42}Mo$
42 Mo 93,2425,6.85 h,21/2+,(+)9.93(8),93,42,Mo,$^{93}_{42}Mo$
42 Mo 94,871,2.9 ps,2+,,94,42,Mo,$^{94}_{42}Mo$
42 Mo 95,0,stable,5/2+,-0.9142(1),95,42,Mo,$^{95}_{42}Mo$
42 Mo 96,778,3.7 ps,2+,,96,42,Mo,$^{96}_{42}Mo$
42 Mo 97,0,stable,5/2+,-0.9335(1),97,42,Mo,$^{97}_{42}Mo$
42 Mo 98,787,3.5 ps,2+,+0.7(4),98,42,Mo,$^{98}_{42}Mo$
42 Mo 99,0,65.9 h,1/2+,0.375(3),99,42,Mo,$^{99}_{42}Mo$
42 Mo 100,536,10.3 ps,2+,+0.7(4),100,42,Mo,$^{100}_{42}Mo$
42 Mo 102,297,0.11 ns,2+,0.84(14),102,42,Mo,$^{102}_{42}Mo$
42 Mo 104,192,0.9 ns,2+,0.4(2),104,42,Mo,$^{104}_{42}Mo$
42 Mo 107,66,245 ns,_,g = -0.92(3),107,42,Mo,$^{107}_{42}Mo$
43 Tc 92,2002,3.2 ns,11-,+8.9(3),92,43,Tc,$^{92}_{43}Tc$
43 Tc 93,0,2.75 h,9/2+,6.32(6),93,43,Tc,$^{93}_{43}Tc$
43 Tc 94,0,293 m,7+,5.12(5),94,43,Tc,$^{94}_{43}Tc$
43 Tc 95,0,20.0 h,9/2+,5.94(6),95,43,Tc,$^{95}_{43}Tc$
43 Tc 96,0,4.28 d,7+,5.09(5),96,43,Tc,$^{96}_{43}Tc$
43 Tc 99,0,2.1x10*5y,9/2+,+5.6847(4),99,43,Tc,$^{99}_{43}Tc$
43 Tc 108,>153,100 ns,,g = +0.50(4),108,43,Tc,$^{108}_{43}Tc$
44 Ru 93,2082,2.4 μs,21/2+,+8.97(2),93,44,Ru,$^{93}_{44}Ru$
44 Ru 94,2498,65 ns,6+,+8.12(5),94,44,Ru,$^{94}_{44}Ru$
44 Ru 95,0,1.64 h,5/2+,0.861(7),95,44,Ru,$^{95}_{44}Ru$
44 Ru 96,833,2.7 ps,2+,,96,44,Ru,$^{96}_{44}Ru$
44 Ru 97,0,2.88 d,5/2+,(-)0.787(8),97,44,Ru,$^{97}_{44}Ru$
44 Ru 98,653,5.9 ps,2+,+0.8(6),98,44,Ru,$^{98}_{44}Ru$
44 Ru 99,0,stable,5/2+,-0.641(5),99,44,Ru,$^{99}_{44}Ru$
44 Ru 100,540,12 ps,2+,+1.02(13),100,44,Ru,$^{100}_{44}Ru$
44 Ru 101,0,stable,5/2+,-0.719(6),101,44,Ru,$^{101}_{44}Ru$
44 Ru 102,475,18 ps,2+,+0.74(6),102,44,Ru,$^{102}_{44}Ru$
44 Ru 103,0,39.4 d,3/2+,0.206(3),103,44,Ru,$^{103}_{44}Ru$
44 Ru 104,358,58 ps,2+,+0.82(10),104,44,Ru,$^{104}_{44}Ru$
44 Ru 105,0,4.44h,3/2+,(-)0.32(+8/-20),105,44,Ru,$^{105}_{44}Ru$
44 Ru 109,>95,780 ns,,g = -0.22(1),109,44,Ru,$^{109}_{44}Ru$
45 Rh 95,2236,19 ns,17/2-,+10.9(3),95,45,Rh,$^{95}_{45}Rh$
45 Rh 99,65,4.7 h,9/2+,5.62(6),99,45,Rh,$^{99}_{45}Rh$
45 Rh 100,75,215 ns,2+,+4.324(8),100,45,Rh,$^{100}_{45}Rh$
45 Rh 101,157,4.34 d,9/2+,5.43(6),101,45,Rh,$^{101}_{45}Rh$
45 Rh 102,0,206 d,2-,0.5(4),102,45,Rh,$^{102}_{45}Rh$
45 Rh 103,0,stable,1/2-,-0.8840(2),103,45,Rh,$^{103}_{45}Rh$
45 Rh 104,215.5 + x,47 ns,6-,+2.00(6),104,45,Rh,$^{104}_{45}Rh$
45 Rh 105,0,35.4 h,7/2+,4.41(5),105,45,Rh,$^{105}_{45}Rh$
45 Rh 106,0,29.8 s,1+,2.575(7),106,45,Rh,$^{106}_{45}Rh$
46 Pd 96,2532,2.22 μs,8+,+10.97(6),96,46,Pd,$^{96}_{46}Pd$
46 Pd 101,0,8.5 h,5/2+,(-)0.66(2),101,46,Pd,$^{101}_{46}Pd$
46 Pd 102,556,11.3 ps,2+,+0.82(8),102,46,Pd,$^{102}_{46}Pd$
46 Pd 103,785,25 ns,11/2-,-1.05(6),103,46,Pd,$^{103}_{46}Pd$
46 Pd 104,556,9.7 ps,2+,+0.92(8),104,46,Pd,$^{104}_{46}Pd$
46 Pd 105,0,stable,5/2+,-0.642(3),105,46,Pd,$^{105}_{46}Pd$
46 Pd 108,434,23 ps,2+,+0.72(6),108,46,Pd,$^{108}_{46}Pd$
46 Pd 110,374,46 ps,2+,+0.62(6),110,46,Pd,$^{110}_{46}Pd$
47 Ag 101,0,11.4 m,9/2+,5.7(4),101,47,Ag,$^{101}_{47}Ag$
47 Ag 102,0,13 m,5+,4.6(7),102,47,Ag,$^{102}_{47}Ag$
47 Ag 103,0,1.10 h,7/2+,+4.47(5),103,47,Ag,$^{103}_{47}Ag$
47 Ag 104,0,69 m,5+,3.917(8),104,47,Ag,$^{104}_{47}Ag$
47 Ag 105,0,41.3 d,1/2-,0.1014(10),105,47,Ag,$^{105}_{47}Ag$
47 Ag 106,0,24 m,1+,+2.9(2),106,47,Ag,$^{106}_{47}Ag$
47 Ag 107,0,stable,1/2-,-0.11357(2),107,47,Ag,$^{107}_{47}Ag$
47 Ag 108,0,2.4 m,1+,2.6884(7),108,47,Ag,$^{108}_{47}Ag$
47 Ag 109,0,stable,1/2-,0.13056(2),109,47,Ag,$^{109}_{47}Ag$
47 Ag 110,0,24.4 s,1+,2.7271(8),110,47,Ag,$^{110}_{47}Ag$
47 Ag 111,0,7.45 d,1/2-,-0.146(2),111,47,Ag,$^{111}_{47}Ag$
47 Ag 112,0,3.14 h,2(-),0.0547(5),112,47,Ag,$^{112}_{47}Ag$
47 Ag 113,0,5.37 h,1/2-,0.159(2),113,47,Ag,$^{113}_{47}Ag$
48 Cd 100,2548,73 ns,8+,9.9(5),100,48,Cd,$^{100}_{48}Cd$
48 Cd 102,2718,56 ns,8+,10.3(2),102,48,Cd,$^{102}_{48}Cd$
48 Cd 103,0,7.3 m,5/2+,-0.81(3),103,48,Cd,$^{103}_{48}Cd$
48 Cd 105,0,56 m,5/2+,-0.7393(2),105,48,Cd,$^{105}_{48}Cd$
48 Cd 106,633,7.3 ps,2+,+0.8(2),106,48,Cd,$^{106}_{48}Cd$
48 Cd 107,0,6.50 h,5/2+,-0.6150554(11),107,48,Cd,$^{107}_{48}Cd$
48 Cd 108,633,6.8 ps,2+,+0.7(2),108,48,Cd,$^{108}_{48}Cd$
48 Cd 109,0,453 d,5/2+,-0.8278461(15),109,48,Cd,$^{109}_{48}Cd$
48 Cd 110,658,5.0 ps,2+,+0.57(11),110,48,Cd,$^{110}_{48}Cd$
48 Cd 111,0,stable,1/2+,-0.5948861(8),111,48,Cd,$^{111}_{48}Cd$
48 Cd 112,617,6.2 ps,2+,+0.6(2),112,48,Cd,$^{112}_{48}Cd$
48 Cd 113,0,9x10*15 y,1/2+,-0.6223009(9),113,48,Cd,$^{113}_{48}Cd$
48 Cd 114,558,9.0 ps,2+,+0.58(14),114,48,Cd,$^{114}_{48}Cd$
48 Cd 115,0,53.4 h,1/2+,-0.6484259(12),115,48,Cd,$^{115}_{48}Cd$
48 Cd 116,514,15 ps,2+,+0.60(14),116,48,Cd,$^{116}_{48}Cd$
49 In 104,0,1.7 m,5+,+4.44(2),104,49,In,$^{104}_{49}In$
49 In 105,0,5.07 m,9/2+,+5.675(5),105,49,In,$^{105}_{49}In$
49 In 106,0,6.2 m,7+,+4.916(7),106,49,In,$^{106}_{49}In$
49 In 107,0,32.4 min,9/2+,+5.585(8),107,49,In,$^{107}_{49}In$
49 In 108,0,58 m,7+,+4.561(3),108,49,In,$^{108}_{49}In$
49 In 109,0,4.2 h,9/2+,+5.538(4),109,49,In,$^{109}_{49}In$
49 In 110,0*,69.1 m,2+,+4.365(4),110,49,In,$^{110}_{49}In$
49 In 111,0,2.83 d,9/2+,+5.503(7),111,49,In,$^{111}_{49}In$
49 In 112,0*,14.4 m,1+,+2.82(3),112,49,In,$^{112}_{49}In$
49 In 113,0,stable,9/2+,+5.5289(2),113,49,In,$^{113}_{49}In$
49 In 114,0,71.9 s,1+,2.817(11),114,49,In,$^{114}_{49}In$
49 In 115,0,4.4x10*14 y,9/2+,+5.5408 (2),115,49,In,$^{115}_{49}In$
49 In 116,0,14.1 s,1+,2.7876(6),116,49,In,$^{116}_{49}In$
49 In 117,0,42 m,9/2+,+5.519(4),117,49,In,$^{117}_{49}In$
49 In 118,~60,4.45 m,5+,+4.231(9),118,49,In,$^{118}_{49}In$
49 In 119,0,2.4 m,9/2+,+5.515(10),119,49,In,$^{119}_{49}In$
49 In 120,(0),44.4 s,5+,+4.295(5),120,49,In,$^{120}_{49}In$
49 In 121,0,23.1 s,9/2+,+5.502(5),121,49,In,$^{121}_{49}In$
49 In 122,0+x,9.2 s,5+,+4.318(5),122,49,In,$^{122}_{49}In$
49 In 123,0,6.68 s,9/2+,+5.491(7),123,49,In,$^{123}_{49}In$
49 In 124,0,3.09 s,3+,+4.043(11),124,49,In,$^{124}_{49}In$
49 In 125,0,2.50 s,9/2+,+5.502(9),125,49,In,$^{125}_{49}In$
49 In 126,(0),1.60 s,3+,+4.034(11),126,49,In,$^{126}_{49}In$
49 In 127,0,1.22 s,9/2+,+5.522(8),127,49,In,$^{127}_{49}In$
50 Sn 108,2365,7.3 ns,6+,-0.24(12),108,50,Sn,$^{108}_{50}Sn$
50 Sn 109,0,18.0 m,5/2+,-1.079(6),109,50,Sn,$^{109}_{50}Sn$
50 Sn 110,2480,5.6 ns,6+,+0.07(3),110,50,Sn,$^{110}_{50}Sn$
50 Sn 111,0,35 m,7/2+,+0.608(4),111,50,Sn,$^{111}_{50}Sn$
50 Sn 112,1257,0.35 ps,2+,+0.7(3),112,50,Sn,$^{112}_{50}Sn$
50 Sn 113,0,115 d,1/2+,-0.8791(6),113,50,Sn,$^{113}_{50}Sn$
50 Sn 114,1300,0.28 ps,2+,>0,114,50,Sn,$^{114}_{50}Sn$
50 Sn 115,0,stable,1/2+,-0.91883(7),115,50,Sn,$^{115}_{50}Sn$
50 Sn 116,1294,0.36 ps,2+,-0.3(2),116,50,Sn,$^{116}_{50}Sn$
50 Sn 117,0,stable,1/2+,-1.00104(7),117,50,Sn,$^{117}_{50}Sn$
50 Sn 118,1230,0.46 ps,2+,+0.04(20),118,50,Sn,$^{118}_{50}Sn$
50 Sn 119,0,stable,1/2+,-1.04728(7),119,50,Sn,$^{119}_{50}Sn$
50 Sn 120,1171,0.64 ps,2+,,120,50,Sn,$^{120}_{50}Sn$
50 Sn 121,0,27.1 h,3/2+,+0.6978(10),121,50,Sn,$^{121}_{50}Sn$
50 Sn 122,1140,0.76 ps,2+,-0.1(2),122,50,Sn,$^{122}_{50}Sn$
50 Sn 123,0,129 d,11/2-,-1.3700(9),123,50,Sn,$^{123}_{50}Sn$
50 Sn 124,1132,0.97 ps,2+,-0.3(2),124,50,Sn,$^{124}_{50}Sn$
50 Sn 125,0,9.62 d,11/2-,-1.348(2),125,50,Sn,$^{125}_{50}Sn$
51 Sb 112,796,536 ns,8-,+2.192(8),112,51,Sb,$^{112}_{51}Sb$
51 Sb 114,0,3.49 m,3+,1.72(8),114,51,Sb,$^{114}_{51}Sb$
51 Sb 115,0,31.8 m,5/2+,+3.46(1),115,51,Sb,$^{115}_{51}Sb$
51 Sb 116,0,16 m,3+,2.715(9),116,51,Sb,$^{116}_{51}Sb$
51 Sb 117,0,2.80 h,5/2+,+3.43(6),117,51,Sb,$^{117}_{51}Sb$
51 Sb 118,0,3.6 m,1+,2.47(7),118,51,Sb,$^{118}_{51}Sb$
51 Sb 119,0,38.0 h,5/2+,+3.45(1),119,51,Sb,$^{119}_{51}Sb$
51 Sb 120,*0*,15.9 m,1+,2.3(2),120,51,Sb,$^{120}_{51}Sb$
51 Sb 121,0,stable,5/2+,+3.3634(3),121,51,Sb,$^{121}_{51}Sb$
51 Sb 122,0,2.68 d,2-,_1.90(2),122,51,Sb,$^{122}_{51}Sb$
51 Sb 123,0,stable,7/2+,+2.5498(2),123,51,Sb,$^{123}_{51}Sb$
51 Sb 124,0,60.2 d,3-,1.20(2),124,51,Sb,$^{124}_{51}Sb$
51 Sb 125,0,2.7 y,7/2+,+2.63(4),125,51,Sb,$^{125}_{51}Sb$
51 Sb 126,0,12.4 d,(8)-,1.28(7),126,51,Sb,$^{126}_{51}Sb$
51 Sb 127,0,3.84 d,7/2+,2.697(6),127,51,Sb,$^{127}_{51}Sb$
51 Sb 128,0,9.1 h,8-,1.3(2),128,51,Sb,$^{128}_{51}Sb$
51 Sb 129,0,4.4 h,7/2+,2.79(2),129,51,Sb,$^{129}_{51}Sb$
51 Sb 131,0,23 m,7/2+,2.89(1),131,51,Sb,$^{131}_{51}Sb$
51 Sb 133,0,2.5 m,7/2+,3.00(1),133,51,Sb,$^{133}_{51}Sb$
52 Te 115,280,7.5 μs,11/2-,-0.954(5),115,52,Te,$^{115}_{52}Te$
52 Te 117,274,19.1 ns,5/2+,-0.787(12),117,52,Te,$^{117}_{52}Te$
52 Te 119,0,16.1 h,1/2+,0.25(5),119,52,Te,$^{119}_{52}Te$
52 Te 120,560,9.3 ps,2+,+0.78(14),120,52,Te,$^{120}_{52}Te$
52 Te 121,294,154 d,11/2-,0.895(10),121,52,Te,$^{121}_{52}Te$
52 Te 122,564,7.52 ps,2+,+0.66(4),122,52,Te,$^{122}_{52}Te$
52 Te 123,0,>1x10*15 y,1/2+,-0.7369478(8),123,52,Te,$^{123}_{52}Te$
52 Te 124,603,6.25 ps,2+,+0.56(6),124,52,Te,$^{124}_{52}Te$
52 Te 125,0,stable,1/2+,-0.8885051(4),125,52,Te,$^{125}_{52}Te$
52 Te 126,666,4.41 ps,2+,+0.62(8),126,52,Te,$^{126}_{52}Te$
52 Te 127,0,9.4 h,3/2+,0.635(4),127,52,Te,$^{127}_{52}Te$
52 Te 128,743,3.2 ps,2+,+0.50(6),128,52,Te,$^{128}_{52}Te$
52 Te 129,0,69.5 m,3/2+,0.702(4),129,52,Te,$^{129}_{52}Te$
52 Te 130,840,2.3 ps,2+,+0.58(10),130,52,Te,$^{130}_{52}Te$
52 Te 131,0,25 m,3/2+,0.696(9),131,52,Te,$^{131}_{52}Te$
52 Te 132,1775,145 ns,6+,+4.7(5),132,52,Te,$^{132}_{52}Te$
52 Te 134,1691,163 ns,6+,+5.08(15),134,52,Te,$^{134}_{52}Te$
52 Te 135,1555,510 ns,19/2-,-3.8(4),135,52,Te,$^{135}_{52}Te$
53 I 117,0,2.22 m,(5/2)+,3.1(2),117,53,I,$^{117}_{53}I$
53 I 118,0,13.7 m,2-,2.0(2),118,53,I,$^{118}_{53}I$
53 I 119,0,19 m,5/2+,(+)2.9(1),119,53,I,$^{119}_{53}I$
53 I 120,0,1.4 h,2-,1.23(3),120,53,I,$^{120}_{53}I$
53 I 121,0,2.1 h,5/2-,2.3(1),121,53,I,$^{121}_{53}I$
53 I 122,0,3.63 m,1+,0.94(3),122,53,I,$^{122}_{53}I$
53 I 123,0,13.3 h,5/2+,2.818(7),123,53,I,$^{123}_{53}I$
53 I 124,0,4.18 d,2-,1.446(4),124,53,I,$^{124}_{53}I$
53 I 125,0,60.2 d,5/2+,2.821(5),125,53,I,$^{125}_{53}I$
53  I  126,0,13.1 d,2-,1.438(4),126,53,I,$^{126}_{53}I$
53 I 127,0,stable,5/2+,+2.81327(8),127,53,I,$^{127}_{53}I$
53 I 128,138,845 ns,4-,-0.72(3),128,53,I,$^{128}_{53}I$
53 I 129,0,1.6x10*7 y,7/2+,+2.6210(3),129,53,I,$^{129}_{53}I$
53 I 130,0,12.36 h,5+,3.349(7),130,53,I,$^{130}_{53}I$
53 I 131,0,8.04 d,7/2+,+2.742(1),131,53,I,$^{131}_{53}I$
53 I 132,0,2.28 h,4+,3.088(7),132,53,I,$^{132}_{53}I$
53 I 133,0,20.9 h,7/2+,+2.856(5),133,53,I,$^{133}_{53}I$
54 Xe 117,0,1.02 m,5/2+,-0.5938(15) d,117,54,Xe,$^{117}_{54}Xe$
54 Xe 119,0,58 m,5/2+,-0.6542(15) d,119,54,Xe,$^{119}_{54}Xe$
54 Xe 121,0,39 m,5/2+,-0.701(3) d,121,54,Xe,$^{121}_{54}Xe$
54 Xe 123,0,2.00 h,1/2+,-0.150(3) d,123,54,Xe,$^{123}_{54}Xe$
54 Xe 124,354,56 ps,2+,+0.46(4),124,54,Xe,$^{124}_{54}Xe$
54 Xe 125,0,17.1 h,1/2+,-0.269(3) d,125,54,Xe,$^{125}_{54}Xe$
54 Xe 126,389,41.2 ps,2+,+0.74(14),126,54,Xe,$^{126}_{54}Xe$
54 Xe 127,0,36.4 d,1/2+,-0.5033(11) d,127,54,Xe,$^{127}_{54}Xe$
54 Xe 128,443,21.4 ps,2+,+0.82(14),128,54,Xe,$^{128}_{54}Xe$
54 Xe 129,0,stable,1/2+,-0.777976(8),129,54,Xe,$^{129}_{54}Xe$
54 Xe 130,538,10.0 ps,2+,+0.76(14),130,54,Xe,$^{130}_{54}Xe$
54 Xe 131,0,stable,3/2+,+0.6915(2) d,131,54,Xe,$^{131}_{54}Xe$
54 Xe 132,668,4.9 ps,2+,+0.74(10),132,54,Xe,$^{132}_{54}Xe$
54 Xe 133,0,5.24 d,3/2+,+0.8129(5) d,133,54,Xe,$^{133}_{54}Xe$
54 Xe 134,847,1.9 ps,2+,1.1(2),134,54,Xe,$^{134}_{54}Xe$
54 Xe 135,0,9.10 h,3/2+,+0.9032(7) d,135,54,Xe,$^{135}_{54}Xe$
54 Xe 136,1313,0.21 ps,2+,2.4(5),136,54,Xe,$^{136}_{54}Xe$
54 Xe 137,0,3.82 m,7/2-,-0.968(8),137,54,Xe,$^{137}_{54}Xe$
54 Xe 139,0,39.7 s,3/2-,-0.304(10),139,54,Xe,$^{139}_{54}Xe$
54 Xe 141,0,1.73 s,5/2+,+0.010(4),141,54,Xe,$^{141}_{54}Xe$
54 Xe 143,0,0.30 s,5/2-,-0.4599(14),143,54,Xe,$^{143}_{54}Xe$
55 Cs 118,(0),14 s,2,+3.876(5),118,55,Cs,$^{118}_{55}Cs$
55 Cs 119,(0),36 s,9/2+,+5.46(3),119,55,Cs,$^{119}_{55}Cs$
55 Cs 120,0,64 s,2+,+3.87(2),120,55,Cs,$^{120}_{55}Cs$
55 Cs 121,0,2.27 m,3/2+,+0.770(4),121,55,Cs,$^{121}_{55}Cs$
55 Cs 122,(0),21 s,1+,-0.1333(9),122,55,Cs,$^{122}_{55}Cs$
55 Cs 123,0,5.8 m,1/2+,+1.377(7),123,55,Cs,$^{123}_{55}Cs$
55 Cs 124,0,30.8 s,1+,+0.673(3),124,55,Cs,$^{124}_{55}Cs$
55 Cs 125,0,45 m,1/2+,+1.409(7),125,55,Cs,$^{125}_{55}Cs$
55 Cs 126,0,1.64 m,1+,+0.777(4),126,55,Cs,$^{126}_{55}Cs$
55 Cs 127,0,6.2 h,1/2+,+1.459(7),127,55,Cs,$^{127}_{55}Cs$
55 Cs 128,0,3.62 m,1+,+0.974(5),128,55,Cs,$^{128}_{55}Cs$
55 Cs 129,0,32.3 h,1/2+,+1.491(8),129,55,Cs,$^{129}_{55}Cs$
55 Cs 130,0,29.9 m,1+,+1.460(7),130,55,Cs,$^{130}_{55}Cs$
55 Cs 131,0,9.69 d,5/2+,+3.53(2),131,55,Cs,$^{131}_{55}Cs$
55 Cs 132,0,6.47 d,2(-),+2.222(7),132,55,Cs,$^{132}_{55}Cs$
55 Cs 133,0,stable,7/2+,+2.582025(3),133,55,Cs,$^{133}_{55}Cs$
55 Cs 134,0,2.06 y,4+,+2.9937(9),134,55,Cs,$^{134}_{55}Cs$
55 Cs 135,0,3x10*6 y,7/2+,+2.7324(2),135,55,Cs,$^{135}_{55}Cs$
55 Cs 136,0,13.2 d,5+,+3.711(15),136,55,Cs,$^{136}_{55}Cs$
55 Cs 137,0,30.17 y,7/2+,+2.8513(7),137,55,Cs,$^{137}_{55}Cs$
55 Cs 138,0,32.2 m,3-,+0.700(4),138,55,Cs,$^{138}_{55}Cs$
55 Cs 139,0,9.4 m,7/2+,+2.696(4),139,55,Cs,$^{139}_{55}Cs$
55 Cs 140,0,65 s,1-,+0.1338953(5),140,55,Cs,$^{140}_{55}Cs$
55 Cs 141,0,25.1 s,7/2+,+2.438(10),141,55,Cs,$^{141}_{55}Cs$
55 Cs 143,0,1.78 s,3/2+,+0.870(4),143,55,Cs,$^{143}_{55}Cs$
55 Cs 144,0,1.00 s,1,-0.546(3),144,55,Cs,$^{144}_{55}Cs$
55 Cs 145,0,0.59 s,3/2+,+0.784(4),145,55,Cs,$^{145}_{55}Cs$
55 Cs 146,0,0.34 s,1,-0.515(2),146,55,Cs,$^{146}_{55}Cs$
56 Ba 121,0,30 s,5/2(+),+0.660(1),121,56,Ba,$^{121}_{56}Ba$
56 Ba 123,0,2.7 m,5/2+,-0.680(1),123,56,Ba,$^{123}_{56}Ba$
56 Ba 125,0,3.5 m,1/2+,+0.177(12),125,56,Ba,$^{125}_{56}Ba$
56 Ba 127,0,12.7 m,1/2(+),+0.0834(10),127,56,Ba,$^{127}_{56}Ba$
56 Ba 129,0,2.23 h,1/2+,-0.40(2),129,56,Ba,$^{129}_{56}Ba$
56 Ba 130,357,37 ps,2+,+0.70(6),130,56,Ba,$^{130}_{56}Ba$
56 Ba 131,0,11.8 d,1/2+,0.708113(15),131,56,Ba,$^{131}_{56}Ba$
56 Ba 132,465,18 ps,2+,+0.68(6),132,56,Ba,$^{132}_{56}Ba$
56 Ba 133,0,10.7 y,1/2+,0.77167(2),133,56,Ba,$^{133}_{56}Ba$
56 Ba 134,605,5.1 ps,2+,+0.86(10),134,56,Ba,$^{134}_{56}Ba$
56 Ba 135,0,stable,3/2+,+0.83794(2),135,56,Ba,$^{135}_{56}Ba$
56 Ba 136,819,1.93 ps,2+,+0.69(10),136,56,Ba,$^{136}_{56}Ba$
56 Ba 137,0,stable,3/2+,+0.93737(2),137,56,Ba,$^{137}_{56}Ba$
56 Ba 138,1436,0.206 ps,2+,+1.4(2),138,56,Ba,$^{138}_{56}Ba$
56 Ba 139,0,84.6 m,7/2-,-0.973(5),139,56,Ba,$^{139}_{56}Ba$
56 Ba 141,0,18.7 m,3/2-,-0.337(5),141,56,Ba,$^{141}_{56}Ba$
56 Ba 142,359,66 ps,2+,0.85(10),142,56,Ba,$^{142}_{56}Ba$
56 Ba 143,0,14.5 s,5/2(+),+0.443(11),143,56,Ba,$^{143}_{56}Ba$
56 Ba 144,199,0.70 ns,2+,0.68(10),144,56,Ba,$^{144}_{56}Ba$
56 Ba 145,0,4.31 s,5/2(-),-0.285(7),145,56,Ba,$^{145}_{56}Ba$
56 Ba 146,181,0.85 ns,2+,0.56(14),146,56,Ba,$^{146}_{56}Ba$
57 La 133,536,60 ns,11/2-,7.5(5),133,57,La,$^{133}_{57}La$
57 La 135,2737,50 ns,(27/2)+,0.0(2),135,57,La,$^{135}_{57}La$
57 La 137,0,6 x 10*4 y,7/2+,+2.695(6),137,57,La,$^{137}_{57}La$
57 La 138,0,1.1x10*11 y,5+,+3.713646(7),138,57,La,$^{138}_{57}La$
57 La 139,0,stable,7/2+,+2.7830455(9),139,57,La,$^{139}_{57}La$
57 La 140,0,40.3 h,3-,+0.730(15),140,57,La,$^{140}_{57}La$
58 Ce 126,2887,8 ps,10+,~+10,126,58,Ce,$^{126}_{58}Ce$
58 Ce 134,3209,308 ns,10+,-1.87(2),134,58,Ce,$^{134}_{58}Ce$
58 Ce 135,2126,8.2 ns,19/2+,-0.66(10),135,58,Ce,$^{135}_{58}Ce$
58 Ce 136,3095,2.2 μs,10+,-1.80(2),136,58,Ce,$^{136}_{58}Ce$
58 Ce 137,0,9.0 h,3/2+,0.96(4),137,58,Ce,$^{137}_{58}Ce$
58 Ce 138,3538,82 ns,10+,-1.70(3),138,58,Ce,$^{138}_{58}Ce$
58 Ce 139,0,137.6 d,3/2+,1.06(4),139,58,Ce,$^{139}_{58}Ce$
58 Ce 140,1596,90 fs,2+,+1.9(2),140,58,Ce,$^{140}_{58}Ce$
58 Ce 141,0,32.5 d,7/2-,1.09(4),141,58,Ce,$^{141}_{58}Ce$
58 Ce 142,641,5.7 ps,2+,+0.42(10),142,58,Ce,$^{142}_{58}Ce$
58 Ce 143,0,33 h,3/2-,0.43(2),143,58,Ce,$^{143}_{58}Ce$
58 Ce 146,259,0.25 ns,2+,0.48(10),146,58,Ce,$^{146}_{58}Ce$
58 Ce 148,158,1.01 ns,2+,0.74(12),148,58,Ce,$^{148}_{58}Ce$
59 Pr 136,548,90 ns,4+,+2.3(8),136,59,Pr,$^{136}_{59}Pr$
59 Pr 139,822,45 ns,11/2-,+6.6(5),139,59,Pr,$^{139}_{59}Pr$
59 Pr 141,0,stable,5/2+,+4.2754(5),141,59,Pr,$^{141}_{59}Pr$
59 Pr 142,0,19.2 h,2-,+0.234(1),142,59,Pr,$^{142}_{59}Pr$
59 Pr 143,0,13.57 d,7/2+,+2.701(4),143,59,Pr,$^{143}_{59}Pr$
59 Pr 144,80,0.12 ns,1-,-1.2(4),144,59,Pr,$^{144}_{59}Pr$
60 Nd 134,295,64 ps,2+,+1.2(4),134,60,Nd,$^{134}_{60}Nd$
60 Nd 135,0,12.4 m,9/2-,-0.78(3),135,60,Nd,$^{135}_{60}Nd$
