nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
12-Mg-27,170.69,9.458,M,60,567.48,12,27,Mg,$^{27}_{12}Mg$,1.16e-9,27Mg
12-Mg-27,843.76,9.458,M,60,567.48,12,27,Mg,$^{27}_{12}Mg$,1.16e-9,27Mg
12-Mg-27,1014.44,9.458,M,60,567.48,12,27,Mg,$^{27}_{12}Mg$,1.16e-9,27Mg
12-Mg-28,30.64,20.915,H,3600,75294,12,28,Mg,$^{28}_{12}Mg$,8.742e-12,28Mg
12-Mg-28,941.45,20.915,H,3600,75294,12,28,Mg,$^{28}_{12}Mg$,8.742e-12,28Mg
12-Mg-28,1342.25,20.915,H,3600,75294,12,28,Mg,$^{28}_{12}Mg$,8.742e-12,28Mg
12-Mg-29,960.4,1.3,S,1,1.3,12,29,Mg,$^{29}_{12}Mg$,5.063e-7,29Mg
12-Mg-29,1398,1.3,S,1,1.3,12,29,Mg,$^{29}_{12}Mg$,5.063e-7,29Mg
12-Mg-29,2224,1.3,S,1,1.3,12,29,Mg,$^{29}_{12}Mg$,5.063e-7,29Mg
12-Mg-30,244.1,335,MS,0.001,0.335,12,30,Mg,$^{30}_{12}Mg$,1.965e-6,30Mg
12-Mg-30,444,335,MS,0.001,0.335,12,30,Mg,$^{30}_{12}Mg$,1.965e-6,30Mg
12-Mg-30,1724.9,335,MS,0.001,0.335,12,30,Mg,$^{30}_{12}Mg$,1.965e-6,30Mg
12-Mg-31,946.6,230,MS,0.001,0.23,12,31,Mg,$^{31}_{12}Mg$,2.862e-6,31Mg
12-Mg-31,1612.8,230,MS,0.001,0.23,12,31,Mg,$^{31}_{12}Mg$,2.862e-6,31Mg
12-Mg-31,1626.2,230,MS,0.001,0.23,12,31,Mg,$^{31}_{12}Mg$,2.862e-6,31Mg
12-Mg-32,735.5,86,MS,0.001,0.08600000000000001,12,32,Mg,$^{32}_{12}Mg$,7.654e-6,32Mg
12-Mg-32,2466.9,86,MS,0.001,0.08600000000000001,12,32,Mg,$^{32}_{12}Mg$,7.654e-6,32Mg
12-Mg-32,2765.3,86,MS,0.001,0.08600000000000001,12,32,Mg,$^{32}_{12}Mg$,7.654e-6,32Mg
12-Mg-33,222,90.5,MS,0.001,0.0905,12,33,Mg,$^{33}_{12}Mg$,7.273e-6,33Mg
12-Mg-33,223,90.5,MS,0.001,0.0905,12,33,Mg,$^{33}_{12}Mg$,7.273e-6,33Mg
12-Mg-33,734,90.5,MS,0.001,0.0905,12,33,Mg,$^{33}_{12}Mg$,7.273e-6,33Mg
12-Mg-33,2761,90.5,MS,0.001,0.0905,12,33,Mg,$^{33}_{12}Mg$,7.273e-6,33Mg
12-Mg-33,2897,90.5,MS,0.001,0.0905,12,33,Mg,$^{33}_{12}Mg$,7.273e-6,33Mg
13-Al-23,450.7,0.47,S,1,0.47,13,23,Al,$^{23}_{13}Al$,1.4e-6,23Al
13-Al-23,1598,0.47,S,1,0.47,13,23,Al,$^{23}_{13}Al$,1.4e-6,23Al
13-Al-24,425.8,131.3,MS,0.001,0.13130000000000003,13,24,Al,$^{24}_{13}Al$,5.013e-6,24Al
13-Al-24,1368.63,131.3,MS,0.001,0.13130000000000003,13,24,Al,$^{24}_{13}Al$,5.013e-6,24Al
13-Al-24,1368.63,2.053,S,1,2.053,13,24,Al,$^{24}_{13}Al$,3.206e-7,24Al
13-Al-24,2754.01,2.053,S,1,2.053,13,24,Al,$^{24}_{13}Al$,3.206e-7,24Al
13-Al-25,585.03,7.183,S,1,7.183,13,25,Al,$^{25}_{13}Al$,9.163e-8,25Al
13-Al-25,974.74,7.183,S,1,7.183,13,25,Al,$^{25}_{13}Al$,9.163e-8,25Al
13-Al-25,1611.71,7.183,S,1,7.183,13,25,Al,$^{25}_{13}Al$,9.163e-8,25Al
13-Al-26,1129.67,717000,Y,31557600,22626799200000,13,26,Al,$^{26}_{13}Al$,2.9090000000000004e-20,26Al
13-Al-26,1808.65,717000,Y,31557600,22626799200000,13,26,Al,$^{26}_{13}Al$,2.9090000000000004e-20,26Al
13-Al-26,2938,717000,Y,31557600,22626799200000,13,26,Al,$^{26}_{13}Al$,2.9090000000000004e-20,26Al
13-Al-28,1778.85,2.2414,M,60,134.484,13,28,Al,$^{28}_{13}Al$,4.894e-9,28Al
13-Al-29,1273.37,6.56,M,60,393.59999999999997,13,29,Al,$^{29}_{13}Al$,1.672e-9,29Al
13-Al-29,2028.07,6.56,M,60,393.59999999999997,13,29,Al,$^{29}_{13}Al$,1.672e-9,29Al
13-Al-29,2425.91,6.56,M,60,393.59999999999997,13,29,Al,$^{29}_{13}Al$,1.672e-9,29Al
13-Al-30,1263.13,3.62,S,1,3.62,13,30,Al,$^{30}_{13}Al$,1.818e-7,30Al
13-Al-30,2235.23,3.62,S,1,3.62,13,30,Al,$^{30}_{13}Al$,1.818e-7,30Al
13-Al-31,752.43,644,MS,0.001,0.644,13,31,Al,$^{31}_{13}Al$,1.022e-6,31Al
13-Al-31,1694.98,644,MS,0.001,0.644,13,31,Al,$^{31}_{13}Al$,1.022e-6,31Al
13-Al-31,2316.8,644,MS,0.001,0.644,13,31,Al,$^{31}_{13}Al$,1.022e-6,31Al
