nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
18-Ar-46,288.1,8.4,S,1,8.4,18,46,Ar,$^{46}_{18}Ar$,7.836e-8,46Ar
18-Ar-46,1020.3,8.4,S,1,8.4,18,46,Ar,$^{46}_{18}Ar$,7.836e-8,46Ar
18-Ar-46,1944.3,8.4,S,1,8.4,18,46,Ar,$^{46}_{18}Ar$,7.836e-8,46Ar
18-Ar-47,360,1.23,S,1,1.23,18,47,Ar,$^{47}_{18}Ar$,5.351e-7,47Ar
18-Ar-47,1660,1.23,S,1,1.23,18,47,Ar,$^{47}_{18}Ar$,5.351e-7,47Ar
18-Ar-47,1742,1.23,S,1,1.23,18,47,Ar,$^{47}_{18}Ar$,5.351e-7,47Ar
19-K-35,1750.6,178,MS,0.001,0.178,19,35,K,$^{35}_{19}K$,3.698e-6,35K
19-K-35,2589.8,178,MS,0.001,0.178,19,35,K,$^{35}_{19}K$,3.698e-6,35K
19-K-35,2982.67,178,MS,0.001,0.178,19,35,K,$^{35}_{19}K$,3.698e-6,35K
19-K-36,1970.33,342,MS,0.001,0.342,19,36,K,$^{36}_{19}K$,1.925e-6,36K
19-K-36,2207.87,342,MS,0.001,0.342,19,36,K,$^{36}_{19}K$,1.925e-6,36K
19-K-36,2432.8,342,MS,0.001,0.342,19,36,K,$^{36}_{19}K$,1.925e-6,36K
19-K-37,2796,1.226,S,1,1.226,19,37,K,$^{37}_{19}K$,5.369e-7,37K
19-K-38,1769,7.636,M,60,458.16,19,38,K,$^{38}_{19}K$,1.437e-9,38K
19-K-38,2167.5,7.636,M,60,458.16,19,38,K,$^{38}_{19}K$,1.437e-9,38K
19-K-40,1460.82,1248000000,Y,31557600,393838848e8,19,40,K,$^{40}_{19}K$,1.6709999999999998e-23,40K
19-K-42,312.6,12.36,H,3600,44496,19,42,K,$^{42}_{19}K$,1.479e-11,42K
19-K-42,899.7,12.36,H,3600,44496,19,42,K,$^{42}_{19}K$,1.479e-11,42K
19-K-42,1524.6,12.36,H,3600,44496,19,42,K,$^{42}_{19}K$,1.479e-11,42K
19-K-43,372.76,22.3,H,3600,80280,19,43,K,$^{43}_{19}K$,8.199e-12,43K
19-K-43,396.86,22.3,H,3600,80280,19,43,K,$^{43}_{19}K$,8.199e-12,43K
19-K-43,617.49,22.3,H,3600,80280,19,43,K,$^{43}_{19}K$,8.199e-12,43K
19-K-44,1157,22.13,M,60,1327.8,19,44,K,$^{44}_{19}K$,4.957e-10,44K
19-K-44,2150.79,22.13,M,60,1327.8,19,44,K,$^{44}_{19}K$,4.957e-10,44K
19-K-44,2518.99,22.13,M,60,1327.8,19,44,K,$^{44}_{19}K$,4.957e-10,44K
