date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:21	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:08%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060bz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060bz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/060bz1.htm)
23:53:21	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:08%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060bz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060bz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/060bz1.htm)
23:53:22	29551/29551	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:01%20GMT	http://img.chem.ucl.ac.uk/sgp/large/058cz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/058cz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/058cz1.htm)
23:53:22	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:08%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060cz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060cz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/060cz1.htm)
23:53:23	27949/27949	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:03%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060bz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060bz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/060bz1.htm)
23:53:23	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:09%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060dz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060dz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/060dz1.htm)
23:53:23	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:09%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060dz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060dz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/060dz1.htm)
23:53:24	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:09%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060ez2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060ez2.html	(from http://img.chem.ucl.ac.uk/sgp/large/060ez1.htm)
23:53:24	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:10%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060ez3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060ez3.html	(from http://img.chem.ucl.ac.uk/sgp/large/060ez1.htm)
23:53:25	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:10%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060fz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060fz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/060fz1.htm)
23:53:25	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:10%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060fz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060fz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/060fz1.htm)
23:53:26	29559/29559	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:03%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060dz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060dz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/060dz1.htm)
23:53:26	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:11%20GMT	http://img.chem.ucl.ac.uk/sgp/large/061bz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/061bz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/061bz1.htm)
23:53:26	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:11%20GMT	http://img.chem.ucl.ac.uk/sgp/large/061bz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/061bz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/061bz1.htm)
23:53:28	29915/29915	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:04%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060ez1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060ez1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/060ez1.htm)
23:53:28	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:12%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062bz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062bz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/062bz1.htm)
23:53:28	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:13%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062bz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062bz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/062bz1.htm)
23:53:29	29765/29765	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:04%20GMT	http://img.chem.ucl.ac.uk/sgp/large/060fz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/060fz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/060fz1.htm)
23:53:29	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:13%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062cz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062cz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/062cz1.htm)
23:53:29	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:13%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062cz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062cz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/062cz1.htm)
23:53:30	29629/29629	---M--	200	added ('Sending%20data')	image/gif	date:Monday,%2009-Oct-06%2018:08:04%20GMT	http://img.chem.ucl.ac.uk/sgp/large/061bz1.gif	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/061bz1.gif	(from http://img.chem.ucl.ac.uk/sgp/large/061bz1.htm)
23:53:30	1732/1732	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:14%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062dz2.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062dz2.html	(from http://img.chem.ucl.ac.uk/sgp/large/062dz1.htm)
23:53:30	2001/2001	---M--	200	added ('Sending%20document')	text/html	date:Friday,%2020-Apr-18%2013:17:14%20GMT	http://img.chem.ucl.ac.uk/sgp/large/062dz3.htm	C:/Users/eugene/OneDrive%20-%20Technological%20University%20Dublin/MDriveRestore/PHYSICS/Book%20Orders/space-groups/img.chem.ucl.ac.uk/sgp/large/062dz3.html	(from http://img.chem.ucl.ac.uk/sgp/large/062dz1.htm)
